Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2020-01-22-ps2017-040-02-002-207	ParlaMint-CZ_2020-01-22-ps2017-040-02-002-207.u1	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-22	2020-01-22	Lower house	ps2017	-	ps2017/040	ps2017/040/02	ps2017/040/207	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2020-01-22-ps2017-040-02-002-207	ParlaMint-CZ_2020-01-22-ps2017-040-02-002-207.u2	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-22	2020-01-22	Lower house	ps2017	-	ps2017/040	ps2017/040/02	ps2017/040/207	Reference	English	Guest	MP	Minister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2020-01-22-ps2017-040-02-002-207	ParlaMint-CZ_2020-01-22-ps2017-040-02-002-207.u3	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-22	2020-01-22	Lower house	ps2017	-	ps2017/040	ps2017/040/02	ps2017/040/207	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2020-01-22-ps2017-040-02-002-207	ParlaMint-CZ_2020-01-22-ps2017-040-02-002-207.u4	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-22	2020-01-22	Lower house	ps2017	-	ps2017/040	ps2017/040/02	ps2017/040/207	Reference	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
ParlaMint-CZ-en_2020-01-22-ps2017-040-02-002-207	ParlaMint-CZ_2020-01-22-ps2017-040-02-002-207.u5	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-22	2020-01-22	Lower house	ps2017	-	ps2017/040	ps2017/040/02	ps2017/040/207	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2020-01-22-ps2017-040-02-002-207	ParlaMint-CZ_2020-01-22-ps2017-040-02-002-207.u6	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-22	2020-01-22	Lower house	ps2017	-	ps2017/040	ps2017/040/02	ps2017/040/207	Reference	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	VojtechPikal.1987	Pikal, Vojtěch	M	1987	
ParlaMint-CZ-en_2020-01-22-ps2017-040-02-002-207	ParlaMint-CZ_2020-01-22-ps2017-040-02-002-207.u7	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-22	2020-01-22	Lower house	ps2017	-	ps2017/040	ps2017/040/02	ps2017/040/207	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2020-01-22-ps2017-040-02-002-207	ParlaMint-CZ_2020-01-22-ps2017-040-02-002-207.u8	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-22	2020-01-22	Lower house	ps2017	-	ps2017/040	ps2017/040/02	ps2017/040/207	Reference	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JiriStrycek.1959	Strýček, Jiří	M	1959	
ParlaMint-CZ-en_2020-01-22-ps2017-040-02-002-207	ParlaMint-CZ_2020-01-22-ps2017-040-02-002-207.u9	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-22	2020-01-22	Lower house	ps2017	-	ps2017/040	ps2017/040/02	ps2017/040/207	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2020-01-22-ps2017-040-02-002-207	ParlaMint-CZ_2020-01-22-ps2017-040-02-002-207.u10	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-22	2020-01-22	Lower house	ps2017	-	ps2017/040	ps2017/040/02	ps2017/040/207	Reference	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JiriStrycek.1959	Strýček, Jiří	M	1959	
ParlaMint-CZ-en_2020-01-22-ps2017-040-02-002-207	ParlaMint-CZ_2020-01-22-ps2017-040-02-002-207.u11	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-22	2020-01-22	Lower house	ps2017	-	ps2017/040	ps2017/040/02	ps2017/040/207	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2020-01-22-ps2017-040-02-002-207	ParlaMint-CZ_2020-01-22-ps2017-040-02-002-207.u12	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-22	2020-01-22	Lower house	ps2017	-	ps2017/040	ps2017/040/02	ps2017/040/207	Reference	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JiriStrycek.1959	Strýček, Jiří	M	1959	
ParlaMint-CZ-en_2020-01-22-ps2017-040-02-002-207	ParlaMint-CZ_2020-01-22-ps2017-040-02-002-207.u13	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-22	2020-01-22	Lower house	ps2017	-	ps2017/040	ps2017/040/02	ps2017/040/207	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2020-01-22-ps2017-040-02-002-207	ParlaMint-CZ_2020-01-22-ps2017-040-02-002-207.u14	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-22	2020-01-22	Lower house	ps2017	-	ps2017/040	ps2017/040/02	ps2017/040/207	Reference	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JiriStrycek.1959	Strýček, Jiří	M	1959	
ParlaMint-CZ-en_2020-01-22-ps2017-040-02-002-207	ParlaMint-CZ_2020-01-22-ps2017-040-02-002-207.u15	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-22	2020-01-22	Lower house	ps2017	-	ps2017/040	ps2017/040/02	ps2017/040/207	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2020-01-22-ps2017-040-02-002-207	ParlaMint-CZ_2020-01-22-ps2017-040-02-002-207.u16	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-22	2020-01-22	Lower house	ps2017	-	ps2017/040	ps2017/040/02	ps2017/040/207	Reference	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JiriStrycek.1959	Strýček, Jiří	M	1959	
ParlaMint-CZ-en_2020-01-22-ps2017-040-02-002-207	ParlaMint-CZ_2020-01-22-ps2017-040-02-002-207.u17	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-22	2020-01-22	Lower house	ps2017	-	ps2017/040	ps2017/040/02	ps2017/040/207	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2020-01-22-ps2017-040-02-002-207	ParlaMint-CZ_2020-01-22-ps2017-040-02-002-207.u18	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-22	2020-01-22	Lower house	ps2017	-	ps2017/040	ps2017/040/02	ps2017/040/207	Reference	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JiriStrycek.1959	Strýček, Jiří	M	1959	
ParlaMint-CZ-en_2020-01-22-ps2017-040-02-002-207	ParlaMint-CZ_2020-01-22-ps2017-040-02-002-207.u19	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-22	2020-01-22	Lower house	ps2017	-	ps2017/040	ps2017/040/02	ps2017/040/207	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2020-01-22-ps2017-040-02-002-207	ParlaMint-CZ_2020-01-22-ps2017-040-02-002-207.u20	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-22	2020-01-22	Lower house	ps2017	-	ps2017/040	ps2017/040/02	ps2017/040/207	Reference	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JiriStrycek.1959	Strýček, Jiří	M	1959	
ParlaMint-CZ-en_2020-01-22-ps2017-040-02-002-207	ParlaMint-CZ_2020-01-22-ps2017-040-02-002-207.u21	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-22	2020-01-22	Lower house	ps2017	-	ps2017/040	ps2017/040/02	ps2017/040/207	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2020-01-22-ps2017-040-02-002-207	ParlaMint-CZ_2020-01-22-ps2017-040-02-002-207.u22	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-22	2020-01-22	Lower house	ps2017	-	ps2017/040	ps2017/040/02	ps2017/040/207	Reference	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JiriStrycek.1959	Strýček, Jiří	M	1959	
ParlaMint-CZ-en_2020-01-22-ps2017-040-02-002-207	ParlaMint-CZ_2020-01-22-ps2017-040-02-002-207.u23	Parliament of the Czech Republic, Chamber of Deputies, 2020-01-22	2020-01-22	Lower house	ps2017	-	ps2017/040	ps2017/040/02	ps2017/040/207	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
