Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2020-10-27-ps2017-062-05-002-348	ParlaMint-CZ_2020-10-27-ps2017-062-05-002-348.u1	Parliament of the Czech Republic, Chamber of Deputies, 2020-10-27	2020-10-27	Lower house	ps2017	-	ps2017/062	ps2017/062/05	ps2017/062/348	COVID	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2020-10-27-ps2017-062-05-002-348	ParlaMint-CZ_2020-10-27-ps2017-062-05-002-348.u2	Parliament of the Czech Republic, Chamber of Deputies, 2020-10-27	2020-10-27	Lower house	ps2017	-	ps2017/062	ps2017/062/05	ps2017/062/348	COVID	English	Regular	notMP	Minister	-	-	-	-	LubomirMetnar.1967	Metnar, Lubomír	M	1967	
ParlaMint-CZ-en_2020-10-27-ps2017-062-05-002-348	ParlaMint-CZ_2020-10-27-ps2017-062-05-002-348.u3	Parliament of the Czech Republic, Chamber of Deputies, 2020-10-27	2020-10-27	Lower house	ps2017	-	ps2017/062	ps2017/062/05	ps2017/062/348	COVID	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2020-10-27-ps2017-062-05-002-348	ParlaMint-CZ_2020-10-27-ps2017-062-05-002-348.u4	Parliament of the Czech Republic, Chamber of Deputies, 2020-10-27	2020-10-27	Lower house	ps2017	-	ps2017/062	ps2017/062/05	ps2017/062/348	COVID	English	Regular	notMP	Minister	-	-	-	-	LubomirMetnar.1967	Metnar, Lubomír	M	1967	
ParlaMint-CZ-en_2020-10-27-ps2017-062-05-002-348	ParlaMint-CZ_2020-10-27-ps2017-062-05-002-348.u5	Parliament of the Czech Republic, Chamber of Deputies, 2020-10-27	2020-10-27	Lower house	ps2017	-	ps2017/062	ps2017/062/05	ps2017/062/348	COVID	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2020-10-27-ps2017-062-05-002-348	ParlaMint-CZ_2020-10-27-ps2017-062-05-002-348.u6	Parliament of the Czech Republic, Chamber of Deputies, 2020-10-27	2020-10-27	Lower house	ps2017	-	ps2017/062	ps2017/062/05	ps2017/062/348	COVID	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	MonikaCervickova.1967	Červíčková, Monika	F	1967	
ParlaMint-CZ-en_2020-10-27-ps2017-062-05-002-348	ParlaMint-CZ_2020-10-27-ps2017-062-05-002-348.u7	Parliament of the Czech Republic, Chamber of Deputies, 2020-10-27	2020-10-27	Lower house	ps2017	-	ps2017/062	ps2017/062/05	ps2017/062/348	COVID	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2020-10-27-ps2017-062-05-002-348	ParlaMint-CZ_2020-10-27-ps2017-062-05-002-348.u8	Parliament of the Czech Republic, Chamber of Deputies, 2020-10-27	2020-10-27	Lower house	ps2017	-	ps2017/062	ps2017/062/05	ps2017/062/348	COVID	English	Regular	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	LeoLuzar.1964	Luzar, Leo	M	1964	
ParlaMint-CZ-en_2020-10-27-ps2017-062-05-002-348	ParlaMint-CZ_2020-10-27-ps2017-062-05-002-348.u9	Parliament of the Czech Republic, Chamber of Deputies, 2020-10-27	2020-10-27	Lower house	ps2017	-	ps2017/062	ps2017/062/05	ps2017/062/348	COVID	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2020-10-27-ps2017-062-05-002-348	ParlaMint-CZ_2020-10-27-ps2017-062-05-002-348.u10	Parliament of the Czech Republic, Chamber of Deputies, 2020-10-27	2020-10-27	Lower house	ps2017	-	ps2017/062	ps2017/062/05	ps2017/062/348	COVID	English	Regular	notMP	Minister	-	-	-	-	LubomirMetnar.1967	Metnar, Lubomír	M	1967	
ParlaMint-CZ-en_2020-10-27-ps2017-062-05-002-348	ParlaMint-CZ_2020-10-27-ps2017-062-05-002-348.u11	Parliament of the Czech Republic, Chamber of Deputies, 2020-10-27	2020-10-27	Lower house	ps2017	-	ps2017/062	ps2017/062/05	ps2017/062/348	COVID	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
