Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2008-05-08-023-XXIII-NRSITZ-00060	ParlaMint-AT_2008-05-08-023-XXIII-NRSITZ-00060_d7e446	Sitting Number 60, Legislative period XXIII, Thursday, 8. May 2008	2008-05-08	Lower house	Legislative period XXIII	-	-	Sitting 60	-	Reference	English	Chairperson	MP	notMinister	Grüne	parliamentary group of The Greens – The Green Alternative	-	Centre-left to left	PAD_08240	Glawischnig-Piesczek, Eva	F	1969	
ParlaMint-AT-en_2008-05-08-023-XXIII-NRSITZ-00060	ParlaMint-AT_2008-05-08-023-XXIII-NRSITZ-00060_d7e477	Sitting Number 60, Legislative period XXIII, Thursday, 8. May 2008	2008-05-08	Lower house	Legislative period XXIII	-	-	Sitting 60	-	Reference	English	Chairperson	MP	notMinister	Grüne	parliamentary group of The Greens – The Green Alternative	-	Centre-left to left	PAD_08240	Glawischnig-Piesczek, Eva	F	1969	
ParlaMint-AT-en_2008-05-08-023-XXIII-NRSITZ-00060	ParlaMint-AT_2008-05-08-023-XXIII-NRSITZ-00060_d7e956	Sitting Number 60, Legislative period XXIII, Thursday, 8. May 2008	2008-05-08	Lower house	Legislative period XXIII	-	-	Sitting 60	-	Reference	English	Chairperson	MP	notMinister	Grüne	parliamentary group of The Greens – The Green Alternative	-	Centre-left to left	PAD_08240	Glawischnig-Piesczek, Eva	F	1969	
