Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2008-12-10-024-XXIV-NRSITZ-00009	ParlaMint-AT_2008-12-10-024-XXIV-NRSITZ-00009_d7e386	Sitting Number 9, Legislative period XXIV, Wednesday, 10. December 2008	2008-12-10	Lower house	Legislative period XXIV	-	-	Sitting 9	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2008-12-10-024-XXIV-NRSITZ-00009	ParlaMint-AT_2008-12-10-024-XXIV-NRSITZ-00009_d7e417	Sitting Number 9, Legislative period XXIV, Wednesday, 10. December 2008	2008-12-10	Lower house	Legislative period XXIV	-	-	Sitting 9	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2008-12-10-024-XXIV-NRSITZ-00009	ParlaMint-AT_2008-12-10-024-XXIV-NRSITZ-00009_d7e1490	Sitting Number 9, Legislative period XXIV, Wednesday, 10. December 2008	2008-12-10	Lower house	Legislative period XXIV	-	-	Sitting 9	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2008-12-10-024-XXIV-NRSITZ-00009	ParlaMint-AT_2008-12-10-024-XXIV-NRSITZ-00009_d7e1525	Sitting Number 9, Legislative period XXIV, Wednesday, 10. December 2008	2008-12-10	Lower house	Legislative period XXIV	-	-	Sitting 9	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
