Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2008-03-13-023-XXIII-NRSITZ-00054	ParlaMint-AT_2008-03-13-023-XXIII-NRSITZ-00054_d7e413	Sitting Number 54, Legislative period XXIII, Thursday, 13. March 2008	2008-03-13	Lower house	Legislative period XXIII	-	-	Sitting 54	-	Reference	English	Chairperson	MP	notMinister	Grüne	parliamentary group of The Greens – The Green Alternative	-	Centre-left to left	PAD_08240	Glawischnig-Piesczek, Eva	F	1969	
ParlaMint-AT-en_2008-03-13-023-XXIII-NRSITZ-00054	ParlaMint-AT_2008-03-13-023-XXIII-NRSITZ-00054_d7e444	Sitting Number 54, Legislative period XXIII, Thursday, 13. March 2008	2008-03-13	Lower house	Legislative period XXIII	-	-	Sitting 54	-	Reference	English	Chairperson	MP	notMinister	Grüne	parliamentary group of The Greens – The Green Alternative	-	Centre-left to left	PAD_08240	Glawischnig-Piesczek, Eva	F	1969	
ParlaMint-AT-en_2008-03-13-023-XXIII-NRSITZ-00054	ParlaMint-AT_2008-03-13-023-XXIII-NRSITZ-00054_d7e859	Sitting Number 54, Legislative period XXIII, Thursday, 13. March 2008	2008-03-13	Lower house	Legislative period XXIII	-	-	Sitting 54	-	Reference	English	Chairperson	MP	notMinister	Grüne	parliamentary group of The Greens – The Green Alternative	-	Centre-left to left	PAD_08240	Glawischnig-Piesczek, Eva	F	1969	
