Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2008-04-10-023-XXIII-NRSITZ-00057	ParlaMint-AT_2008-04-10-023-XXIII-NRSITZ-00057_d7e416	Sitting Number 57, Legislative period XXIII, Thursday, 10. April 2008	2008-04-10	Lower house	Legislative period XXIII	-	-	Sitting 57	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01817	Spindelegger, Michael	M	1959	
ParlaMint-AT-en_2008-04-10-023-XXIII-NRSITZ-00057	ParlaMint-AT_2008-04-10-023-XXIII-NRSITZ-00057_d7e466	Sitting Number 57, Legislative period XXIII, Thursday, 10. April 2008	2008-04-10	Lower house	Legislative period XXIII	-	-	Sitting 57	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01817	Spindelegger, Michael	M	1959	
ParlaMint-AT-en_2008-04-10-023-XXIII-NRSITZ-00057	ParlaMint-AT_2008-04-10-023-XXIII-NRSITZ-00057_d7e747	Sitting Number 57, Legislative period XXIII, Thursday, 10. April 2008	2008-04-10	Lower house	Legislative period XXIII	-	-	Sitting 57	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01817	Spindelegger, Michael	M	1959	
