Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2008-12-03-024-XXIV-NRSITZ-00007	ParlaMint-AT_2008-12-03-024-XXIV-NRSITZ-00007_d7e392	Sitting Number 7, Legislative period XXIV, Wednesday, 3. December 2008	2008-12-03	Lower house	Legislative period XXIV	-	-	Sitting 7	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2008-12-03-024-XXIV-NRSITZ-00007	ParlaMint-AT_2008-12-03-024-XXIV-NRSITZ-00007_d7e423	Sitting Number 7, Legislative period XXIV, Wednesday, 3. December 2008	2008-12-03	Lower house	Legislative period XXIV	-	-	Sitting 7	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2008-12-03-024-XXIV-NRSITZ-00007	ParlaMint-AT_2008-12-03-024-XXIV-NRSITZ-00007_d7e1099	Sitting Number 7, Legislative period XXIV, Wednesday, 3. December 2008	2008-12-03	Lower house	Legislative period XXIV	-	-	Sitting 7	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
