Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2008-01-31-023-XXIII-NRSITZ-00048	ParlaMint-AT_2008-01-31-023-XXIII-NRSITZ-00048_d7e352	Sitting Number 48, Legislative period XXIII, Thursday, 31. January 2008	2008-01-31	Lower house	Legislative period XXIII	-	-	Sitting 48	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2008-01-31-023-XXIII-NRSITZ-00048	ParlaMint-AT_2008-01-31-023-XXIII-NRSITZ-00048_d7e392	Sitting Number 48, Legislative period XXIII, Thursday, 31. January 2008	2008-01-31	Lower house	Legislative period XXIII	-	-	Sitting 48	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2008-01-31-023-XXIII-NRSITZ-00048	ParlaMint-AT_2008-01-31-023-XXIII-NRSITZ-00048_d7e575	Sitting Number 48, Legislative period XXIII, Thursday, 31. January 2008	2008-01-31	Lower house	Legislative period XXIII	-	-	Sitting 48	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
