Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2008-10-20-023-XXIII-NRSITZ-00073	ParlaMint-AT_2008-10-20-023-XXIII-NRSITZ-00073_d7e471	Sitting Number 73, Legislative period XXIII, Monday, 20. October 2008	2008-10-20	Lower house	Legislative period XXIII	-	-	Sitting 73	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2008-10-20-023-XXIII-NRSITZ-00073	ParlaMint-AT_2008-10-20-023-XXIII-NRSITZ-00073_d7e496	Sitting Number 73, Legislative period XXIII, Monday, 20. October 2008	2008-10-20	Lower house	Legislative period XXIII	-	-	Sitting 73	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2008-10-20-023-XXIII-NRSITZ-00073	ParlaMint-AT_2008-10-20-023-XXIII-NRSITZ-00073_d7e525	Sitting Number 73, Legislative period XXIII, Monday, 20. October 2008	2008-10-20	Lower house	Legislative period XXIII	-	-	Sitting 73	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2008-10-20-023-XXIII-NRSITZ-00073	ParlaMint-AT_2008-10-20-023-XXIII-NRSITZ-00073_d7e622	Sitting Number 73, Legislative period XXIII, Monday, 20. October 2008	2008-10-20	Lower house	Legislative period XXIII	-	-	Sitting 73	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2008-10-20-023-XXIII-NRSITZ-00073	ParlaMint-AT_2008-10-20-023-XXIII-NRSITZ-00073_d7e764	Sitting Number 73, Legislative period XXIII, Monday, 20. October 2008	2008-10-20	Lower house	Legislative period XXIII	-	-	Sitting 73	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
