Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2008-07-08-023-XXIII-NRSITZ-00066	ParlaMint-AT_2008-07-08-023-XXIII-NRSITZ-00066_d7e731	Sitting Number 66, Legislative period XXIII, Tuesday, 8. July 2008	2008-07-08	Lower house	Legislative period XXIII	-	-	Sitting 66	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2008-07-08-023-XXIII-NRSITZ-00066	ParlaMint-AT_2008-07-08-023-XXIII-NRSITZ-00066_d7e762	Sitting Number 66, Legislative period XXIII, Tuesday, 8. July 2008	2008-07-08	Lower house	Legislative period XXIII	-	-	Sitting 66	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2008-07-08-023-XXIII-NRSITZ-00066	ParlaMint-AT_2008-07-08-023-XXIII-NRSITZ-00066_d7e963	Sitting Number 66, Legislative period XXIII, Tuesday, 8. July 2008	2008-07-08	Lower house	Legislative period XXIII	-	-	Sitting 66	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2008-07-08-023-XXIII-NRSITZ-00066	ParlaMint-AT_2008-07-08-023-XXIII-NRSITZ-00066_d7e1108	Sitting Number 66, Legislative period XXIII, Tuesday, 8. July 2008	2008-07-08	Lower house	Legislative period XXIII	-	-	Sitting 66	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
