Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2008-03-11-023-XXIII-NRSITZ-00052	ParlaMint-AT_2008-03-11-023-XXIII-NRSITZ-00052_d7e546	Sitting Number 52, Legislative period XXIII, Tuesday, 11. March 2008	2008-03-11	Lower house	Legislative period XXIII	-	-	Sitting 52	-	Reference	English	Chairperson	MP	notMinister	Grüne	parliamentary group of The Greens – The Green Alternative	-	Centre-left to left	PAD_08240	Glawischnig-Piesczek, Eva	F	1969	
ParlaMint-AT-en_2008-03-11-023-XXIII-NRSITZ-00052	ParlaMint-AT_2008-03-11-023-XXIII-NRSITZ-00052_d7e577	Sitting Number 52, Legislative period XXIII, Tuesday, 11. March 2008	2008-03-11	Lower house	Legislative period XXIII	-	-	Sitting 52	-	Reference	English	Chairperson	MP	notMinister	Grüne	parliamentary group of The Greens – The Green Alternative	-	Centre-left to left	PAD_08240	Glawischnig-Piesczek, Eva	F	1969	
ParlaMint-AT-en_2008-03-11-023-XXIII-NRSITZ-00052	ParlaMint-AT_2008-03-11-023-XXIII-NRSITZ-00052_d7e839	Sitting Number 52, Legislative period XXIII, Tuesday, 11. March 2008	2008-03-11	Lower house	Legislative period XXIII	-	-	Sitting 52	-	Reference	English	Chairperson	MP	notMinister	Grüne	parliamentary group of The Greens – The Green Alternative	-	Centre-left to left	PAD_08240	Glawischnig-Piesczek, Eva	F	1969	
