Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2008-06-05-023-XXIII-NRSITZ-00062	ParlaMint-AT_2008-06-05-023-XXIII-NRSITZ-00062_d7e588	Sitting Number 62, Legislative period XXIII, Thursday, 5. June 2008	2008-06-05	Lower house	Legislative period XXIII	-	-	Sitting 62	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2008-06-05-023-XXIII-NRSITZ-00062	ParlaMint-AT_2008-06-05-023-XXIII-NRSITZ-00062_d7e619	Sitting Number 62, Legislative period XXIII, Thursday, 5. June 2008	2008-06-05	Lower house	Legislative period XXIII	-	-	Sitting 62	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2008-06-05-023-XXIII-NRSITZ-00062	ParlaMint-AT_2008-06-05-023-XXIII-NRSITZ-00062_d7e827	Sitting Number 62, Legislative period XXIII, Thursday, 5. June 2008	2008-06-05	Lower house	Legislative period XXIII	-	-	Sitting 62	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
