Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2008-10-28-024-XXIV-NRSITZ-00002	ParlaMint-AT_2008-10-28-024-XXIV-NRSITZ-00002_d7e333	Sitting Number 2, Legislative period XXIV, Tuesday, 28. October 2008	2008-10-28	Lower house	Legislative period XXIV	-	-	Sitting 2	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01817	Spindelegger, Michael	M	1959	
ParlaMint-AT-en_2008-10-28-024-XXIV-NRSITZ-00002	ParlaMint-AT_2008-10-28-024-XXIV-NRSITZ-00002_d7e367	Sitting Number 2, Legislative period XXIV, Tuesday, 28. October 2008	2008-10-28	Lower house	Legislative period XXIV	-	-	Sitting 2	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01817	Spindelegger, Michael	M	1959	
ParlaMint-AT-en_2008-10-28-024-XXIV-NRSITZ-00002	ParlaMint-AT_2008-10-28-024-XXIV-NRSITZ-00002_d7e498	Sitting Number 2, Legislative period XXIV, Tuesday, 28. October 2008	2008-10-28	Lower house	Legislative period XXIV	-	-	Sitting 2	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01817	Spindelegger, Michael	M	1959	
