Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2008-11-25-024-XXIV-NRSITZ-00005	ParlaMint-AT_2008-11-25-024-XXIV-NRSITZ-00005_d7e333	Sitting Number 5, Legislative period XXIV, Tuesday, 25. November 2008	2008-11-25	Lower house	Legislative period XXIV	-	-	Sitting 5	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01817	Spindelegger, Michael	M	1959	
ParlaMint-AT-en_2008-11-25-024-XXIV-NRSITZ-00005	ParlaMint-AT_2008-11-25-024-XXIV-NRSITZ-00005_d7e364	Sitting Number 5, Legislative period XXIV, Tuesday, 25. November 2008	2008-11-25	Lower house	Legislative period XXIV	-	-	Sitting 5	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01817	Spindelegger, Michael	M	1959	
ParlaMint-AT-en_2008-11-25-024-XXIV-NRSITZ-00005	ParlaMint-AT_2008-11-25-024-XXIV-NRSITZ-00005_d7e884	Sitting Number 5, Legislative period XXIV, Tuesday, 25. November 2008	2008-11-25	Lower house	Legislative period XXIV	-	-	Sitting 5	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01817	Spindelegger, Michael	M	1959	
