Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2008-07-10-023-XXIII-NRSITZ-00069	ParlaMint-AT_2008-07-10-023-XXIII-NRSITZ-00069_d7e449	Sitting Number 69, Legislative period XXIII, Thursday, 10. July 2008	2008-07-10	Lower house	Legislative period XXIII	-	-	Sitting 69	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2008-07-10-023-XXIII-NRSITZ-00069	ParlaMint-AT_2008-07-10-023-XXIII-NRSITZ-00069_d7e480	Sitting Number 69, Legislative period XXIII, Thursday, 10. July 2008	2008-07-10	Lower house	Legislative period XXIII	-	-	Sitting 69	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2008-07-10-023-XXIII-NRSITZ-00069	ParlaMint-AT_2008-07-10-023-XXIII-NRSITZ-00069_d7e716	Sitting Number 69, Legislative period XXIII, Thursday, 10. July 2008	2008-07-10	Lower house	Legislative period XXIII	-	-	Sitting 69	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2008-07-10-023-XXIII-NRSITZ-00069	ParlaMint-AT_2008-07-10-023-XXIII-NRSITZ-00069_d7e754	Sitting Number 69, Legislative period XXIII, Thursday, 10. July 2008	2008-07-10	Lower house	Legislative period XXIII	-	-	Sitting 69	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2008-07-10-023-XXIII-NRSITZ-00069	ParlaMint-AT_2008-07-10-023-XXIII-NRSITZ-00069_d7e800	Sitting Number 69, Legislative period XXIII, Thursday, 10. July 2008	2008-07-10	Lower house	Legislative period XXIII	-	-	Sitting 69	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
