Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2008-06-07-023-XXIII-NRSITZ-00064	ParlaMint-AT_2008-06-07-023-XXIII-NRSITZ-00064_d7e361	Sitting Number 64, Legislative period XXIII, Saturday, 7. June 2008	2008-06-07	Lower house	Legislative period XXIII	-	-	Sitting 64	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01817	Spindelegger, Michael	M	1959	
ParlaMint-AT-en_2008-06-07-023-XXIII-NRSITZ-00064	ParlaMint-AT_2008-06-07-023-XXIII-NRSITZ-00064_d7e392	Sitting Number 64, Legislative period XXIII, Saturday, 7. June 2008	2008-06-07	Lower house	Legislative period XXIII	-	-	Sitting 64	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01817	Spindelegger, Michael	M	1959	
ParlaMint-AT-en_2008-06-07-023-XXIII-NRSITZ-00064	ParlaMint-AT_2008-06-07-023-XXIII-NRSITZ-00064_d7e963	Sitting Number 64, Legislative period XXIII, Saturday, 7. June 2008	2008-06-07	Lower house	Legislative period XXIII	-	-	Sitting 64	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01817	Spindelegger, Michael	M	1959	
