Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2020-05-05-prot-201920--116	i-dd6b1b8f82ea029c-0	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 116	2020-05-05	Unicameralism	2019/20	-	-	2019/20--116	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3431836	Hallengren, Lena	F	-	
ParlaMint-SE-en_2020-05-05-prot-201920--116	i-dd6b1b8f82ea029c-7	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 116	2020-05-05	Unicameralism	2019/20	-	-	2019/20--116	-	COVID	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q71133291	Utterstedt, Ann-Christine From	F	-	
ParlaMint-SE-en_2020-05-05-prot-201920--116	i-dd6b1b8f82ea029c-14	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 116	2020-05-05	Unicameralism	2019/20	-	-	2019/20--116	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3431836	Hallengren, Lena	F	-	
ParlaMint-SE-en_2020-05-05-prot-201920--116	i-dd6b1b8f82ea029c-25	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 116	2020-05-05	Unicameralism	2019/20	-	-	2019/20--116	-	COVID	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q71133291	Utterstedt, Ann-Christine From	F	-	
ParlaMint-SE-en_2020-05-05-prot-201920--116	i-dd6b1b8f82ea029c-31	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 116	2020-05-05	Unicameralism	2019/20	-	-	2019/20--116	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3431836	Hallengren, Lena	F	-	
ParlaMint-SE-en_2020-05-05-prot-201920--116	i-dd6b1b8f82ea029c-39	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 116	2020-05-05	Unicameralism	2019/20	-	-	2019/20--116	-	COVID	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q71133291	Utterstedt, Ann-Christine From	F	-	
ParlaMint-SE-en_2020-05-05-prot-201920--116	i-dd6b1b8f82ea029c-43	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 116	2020-05-05	Unicameralism	2019/20	-	-	2019/20--116	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3431836	Hallengren, Lena	F	-	
