Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2020-09-22-prot-202021--12	i-d2b2a32237dd809f-4	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 12	2020-09-22	Unicameralism	2020/21	-	-	2020/21--12	-	COVID	English	Regular	notMP	Minister	MP	Miljöpartiet	-	Centre-left	Q470630	Eriksson, Peter	M	-	
ParlaMint-SE-en_2020-09-22-prot-202021--12	i-d2b2a32237dd809f-15	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 12	2020-09-22	Unicameralism	2020/21	-	-	2020/21--12	-	COVID	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q26305112	Forssell, Joar	M	-	
ParlaMint-SE-en_2020-09-22-prot-202021--12	i-d2b2a32237dd809f-27	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 12	2020-09-22	Unicameralism	2020/21	-	-	2020/21--12	-	COVID	English	Regular	notMP	Minister	MP	Miljöpartiet	-	Centre-left	Q470630	Eriksson, Peter	M	-	
ParlaMint-SE-en_2020-09-22-prot-202021--12	i-d2b2a32237dd809f-34	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 12	2020-09-22	Unicameralism	2020/21	-	-	2020/21--12	-	COVID	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q26305112	Forssell, Joar	M	-	
ParlaMint-SE-en_2020-09-22-prot-202021--12	i-d2b2a32237dd809f-41	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 12	2020-09-22	Unicameralism	2020/21	-	-	2020/21--12	-	COVID	English	Regular	notMP	Minister	MP	Miljöpartiet	-	Centre-left	Q470630	Eriksson, Peter	M	-	
ParlaMint-SE-en_2020-09-22-prot-202021--12	i-d2b2a32237dd809f-47	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 12	2020-09-22	Unicameralism	2020/21	-	-	2020/21--12	-	COVID	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q26305112	Forssell, Joar	M	-	
ParlaMint-SE-en_2020-09-22-prot-202021--12	i-d2b2a32237dd809f-52	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 12	2020-09-22	Unicameralism	2020/21	-	-	2020/21--12	-	COVID	English	Regular	notMP	Minister	MP	Miljöpartiet	-	Centre-left	Q470630	Eriksson, Peter	M	-	
