Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2020-04-24-prot-201920--111	i-36861beed9009003-1	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 111	2020-04-24	Unicameralism	2019/20	-	-	2019/20--111	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2020-04-24-prot-201920--111	i-36861beed9009003-8	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 111	2020-04-24	Unicameralism	2019/20	-	-	2019/20--111	-	COVID	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q26211839	Andersson, Tobias	M	-	
ParlaMint-SE-en_2020-04-24-prot-201920--111	i-36861beed9009003-17	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 111	2020-04-24	Unicameralism	2019/20	-	-	2019/20--111	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2020-04-24-prot-201920--111	i-36861beed9009003-26	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 111	2020-04-24	Unicameralism	2019/20	-	-	2019/20--111	-	COVID	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q26211839	Andersson, Tobias	M	-	
ParlaMint-SE-en_2020-04-24-prot-201920--111	i-36861beed9009003-30	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 111	2020-04-24	Unicameralism	2019/20	-	-	2019/20--111	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2020-04-24-prot-201920--111	i-36861beed9009003-37	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 111	2020-04-24	Unicameralism	2019/20	-	-	2019/20--111	-	COVID	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q26211839	Andersson, Tobias	M	-	
ParlaMint-SE-en_2020-04-24-prot-201920--111	i-36861beed9009003-41	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 111	2020-04-24	Unicameralism	2019/20	-	-	2019/20--111	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
