Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2020-06-05-prot-201920--133	i-d180ea4ff08d8d9c-8	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 133	2020-06-05	Unicameralism	2019/20	-	-	2019/20--133	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4946204	Ekström, Anna	F	-	
ParlaMint-SE-en_2020-06-05-prot-201920--133	i-d180ea4ff08d8d9c-14	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 133	2020-06-05	Unicameralism	2019/20	-	-	2019/20--133	-	COVID	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q18238432	Dioukarev, Dennis	M	-	
ParlaMint-SE-en_2020-06-05-prot-201920--133	i-d180ea4ff08d8d9c-24	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 133	2020-06-05	Unicameralism	2019/20	-	-	2019/20--133	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4946204	Ekström, Anna	F	-	
ParlaMint-SE-en_2020-06-05-prot-201920--133	i-d180ea4ff08d8d9c-29	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 133	2020-06-05	Unicameralism	2019/20	-	-	2019/20--133	-	COVID	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q18238432	Dioukarev, Dennis	M	-	
ParlaMint-SE-en_2020-06-05-prot-201920--133	i-d180ea4ff08d8d9c-37	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 133	2020-06-05	Unicameralism	2019/20	-	-	2019/20--133	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4946204	Ekström, Anna	F	-	
ParlaMint-SE-en_2020-06-05-prot-201920--133	i-d180ea4ff08d8d9c-43	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 133	2020-06-05	Unicameralism	2019/20	-	-	2019/20--133	-	COVID	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q18238432	Dioukarev, Dennis	M	-	
ParlaMint-SE-en_2020-06-05-prot-201920--133	i-d180ea4ff08d8d9c-47	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 133	2020-06-05	Unicameralism	2019/20	-	-	2019/20--133	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4946204	Ekström, Anna	F	-	
