Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2020-10-02-prot-202021--19	i-48284ba29cf8b513-2	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 19	2020-10-02	Unicameralism	2020/21	-	-	2020/21--19	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2020-10-02-prot-202021--19	i-VZjboXZfh97HwHxmrGR7aE	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 19	2020-10-02	Unicameralism	2020/21	-	-	2020/21--19	-	COVID	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q18238731	Eskilandersson, Mikael	M	-	
ParlaMint-SE-en_2020-10-02-prot-202021--19	i-48284ba29cf8b513-15	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 19	2020-10-02	Unicameralism	2020/21	-	-	2020/21--19	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2020-10-02-prot-202021--19	i-48284ba29cf8b513-21	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 19	2020-10-02	Unicameralism	2020/21	-	-	2020/21--19	-	COVID	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q18238731	Eskilandersson, Mikael	M	-	
ParlaMint-SE-en_2020-10-02-prot-202021--19	i-48284ba29cf8b513-29	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 19	2020-10-02	Unicameralism	2020/21	-	-	2020/21--19	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2020-10-02-prot-202021--19	i-48284ba29cf8b513-33	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 19	2020-10-02	Unicameralism	2020/21	-	-	2020/21--19	-	COVID	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q18238731	Eskilandersson, Mikael	M	-	
ParlaMint-SE-en_2020-10-02-prot-202021--19	i-48284ba29cf8b513-37	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 19	2020-10-02	Unicameralism	2020/21	-	-	2020/21--19	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
