Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2020-03-20-prot-201920--91	i-f20b6a493322aab0-4	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 91	2020-03-20	Unicameralism	2019/20	-	-	2019/20--91	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2020-03-20-prot-201920--91	i-f20b6a493322aab0-7	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 91	2020-03-20	Unicameralism	2019/20	-	-	2019/20--91	-	COVID	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q71340705	Kihlström, Ingemar	M	-	
ParlaMint-SE-en_2020-03-20-prot-201920--91	i-f20b6a493322aab0-15	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 91	2020-03-20	Unicameralism	2019/20	-	-	2019/20--91	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2020-03-20-prot-201920--91	i-f20b6a493322aab0-25	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 91	2020-03-20	Unicameralism	2019/20	-	-	2019/20--91	-	COVID	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q71340705	Kihlström, Ingemar	M	-	
ParlaMint-SE-en_2020-03-20-prot-201920--91	i-f20b6a493322aab0-32	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 91	2020-03-20	Unicameralism	2019/20	-	-	2019/20--91	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
ParlaMint-SE-en_2020-03-20-prot-201920--91	i-f20b6a493322aab0-42	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 91	2020-03-20	Unicameralism	2019/20	-	-	2019/20--91	-	COVID	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q71340705	Kihlström, Ingemar	M	-	
ParlaMint-SE-en_2020-03-20-prot-201920--91	i-f20b6a493322aab0-45	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 91	2020-03-20	Unicameralism	2019/20	-	-	2019/20--91	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5887217	Johansson, Morgan	M	-	
