Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2020-05-25-prot-201920--124	i-9cde5187386ec4d8-3	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 124	2020-05-25	Unicameralism	2019/20	-	-	2019/20--124	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4970111	Nordmark, Eva	F	-	
ParlaMint-SE-en_2020-05-25-prot-201920--124	i-9cde5187386ec4d8-18	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 124	2020-05-25	Unicameralism	2019/20	-	-	2019/20--124	-	COVID	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q4972645	Pethrus, Désirée	F	-	
ParlaMint-SE-en_2020-05-25-prot-201920--124	i-9cde5187386ec4d8-27	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 124	2020-05-25	Unicameralism	2019/20	-	-	2019/20--124	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4970111	Nordmark, Eva	F	-	
ParlaMint-SE-en_2020-05-25-prot-201920--124	i-9cde5187386ec4d8-36	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 124	2020-05-25	Unicameralism	2019/20	-	-	2019/20--124	-	COVID	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q4972645	Pethrus, Désirée	F	-	
ParlaMint-SE-en_2020-05-25-prot-201920--124	i-9cde5187386ec4d8-43	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 124	2020-05-25	Unicameralism	2019/20	-	-	2019/20--124	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4970111	Nordmark, Eva	F	-	
ParlaMint-SE-en_2020-05-25-prot-201920--124	i-9cde5187386ec4d8-49	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 124	2020-05-25	Unicameralism	2019/20	-	-	2019/20--124	-	COVID	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q4972645	Pethrus, Désirée	F	-	
ParlaMint-SE-en_2020-05-25-prot-201920--124	i-9cde5187386ec4d8-54	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 124	2020-05-25	Unicameralism	2019/20	-	-	2019/20--124	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4970111	Nordmark, Eva	F	-	
