Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2020-03-31-prot-201920--97	i-71396076af9b8d80-0	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 97	2020-03-31	Unicameralism	2019/20	-	-	2019/20--97	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4970111	Nordmark, Eva	F	-	
ParlaMint-SE-en_2020-03-31-prot-201920--97	i-71396076af9b8d80-9	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 97	2020-03-31	Unicameralism	2019/20	-	-	2019/20--97	-	COVID	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q57168740	Weidby, Ciczie	F	-	
ParlaMint-SE-en_2020-03-31-prot-201920--97	i-71396076af9b8d80-15	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 97	2020-03-31	Unicameralism	2019/20	-	-	2019/20--97	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4970111	Nordmark, Eva	F	-	
ParlaMint-SE-en_2020-03-31-prot-201920--97	i-71396076af9b8d80-20	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 97	2020-03-31	Unicameralism	2019/20	-	-	2019/20--97	-	COVID	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q57168740	Weidby, Ciczie	F	-	
ParlaMint-SE-en_2020-03-31-prot-201920--97	i-71396076af9b8d80-28	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 97	2020-03-31	Unicameralism	2019/20	-	-	2019/20--97	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4970111	Nordmark, Eva	F	-	
ParlaMint-SE-en_2020-03-31-prot-201920--97	i-71396076af9b8d80-34	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 97	2020-03-31	Unicameralism	2019/20	-	-	2019/20--97	-	COVID	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q57168740	Weidby, Ciczie	F	-	
ParlaMint-SE-en_2020-03-31-prot-201920--97	i-71396076af9b8d80-37	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 97	2020-03-31	Unicameralism	2019/20	-	-	2019/20--97	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4970111	Nordmark, Eva	F	-	
