Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_1998-06-18-020-XX-NRSITZ-00131	ParlaMint-AT_1998-06-18-020-XX-NRSITZ-00131_d7e419	Sitting Number 131, Legislative period XX, Thursday, 18. June 1998	1998-06-18	Lower house	Legislative period XX	-	-	Sitting 131	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02833	Brauneder, Willi	M	1943	
ParlaMint-AT-en_1998-06-18-020-XX-NRSITZ-00131	ParlaMint-AT_1998-06-18-020-XX-NRSITZ-00131_d7e450	Sitting Number 131, Legislative period XX, Thursday, 18. June 1998	1998-06-18	Lower house	Legislative period XX	-	-	Sitting 131	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02833	Brauneder, Willi	M	1943	
ParlaMint-AT-en_1998-06-18-020-XX-NRSITZ-00131	ParlaMint-AT_1998-06-18-020-XX-NRSITZ-00131_d7e627	Sitting Number 131, Legislative period XX, Thursday, 18. June 1998	1998-06-18	Lower house	Legislative period XX	-	-	Sitting 131	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02833	Brauneder, Willi	M	1943	
ParlaMint-AT-en_1998-06-18-020-XX-NRSITZ-00131	ParlaMint-AT_1998-06-18-020-XX-NRSITZ-00131_d7e681	Sitting Number 131, Legislative period XX, Thursday, 18. June 1998	1998-06-18	Lower house	Legislative period XX	-	-	Sitting 131	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02833	Brauneder, Willi	M	1943	
ParlaMint-AT-en_1998-06-18-020-XX-NRSITZ-00131	ParlaMint-AT_1998-06-18-020-XX-NRSITZ-00131_d7e702	Sitting Number 131, Legislative period XX, Thursday, 18. June 1998	1998-06-18	Lower house	Legislative period XX	-	-	Sitting 131	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02833	Brauneder, Willi	M	1943	
