Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_1998-12-05-020-XX-NRSITZ-00153	ParlaMint-AT_1998-12-05-020-XX-NRSITZ-00153_d7e413	Sitting Number 153, Legislative period XX, Saturday, 5. December 1998	1998-12-05	Lower house	Legislative period XX	-	-	Sitting 153	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01018	Neisser, Heinrich	M	1936	
ParlaMint-AT-en_1998-12-05-020-XX-NRSITZ-00153	ParlaMint-AT_1998-12-05-020-XX-NRSITZ-00153_d7e444	Sitting Number 153, Legislative period XX, Saturday, 5. December 1998	1998-12-05	Lower house	Legislative period XX	-	-	Sitting 153	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01018	Neisser, Heinrich	M	1936	
ParlaMint-AT-en_1998-12-05-020-XX-NRSITZ-00153	ParlaMint-AT_1998-12-05-020-XX-NRSITZ-00153_d7e536	Sitting Number 153, Legislative period XX, Saturday, 5. December 1998	1998-12-05	Lower house	Legislative period XX	-	-	Sitting 153	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01018	Neisser, Heinrich	M	1936	
