Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_1998-01-22-020-XX-NRSITZ-00108	ParlaMint-AT_1998-01-22-020-XX-NRSITZ-00108_d7e337	Sitting Number 108, Legislative period XX, Thursday, 22. January 1998	1998-01-22	Lower house	Legislative period XX	-	-	Sitting 108	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_1998-01-22-020-XX-NRSITZ-00108	ParlaMint-AT_1998-01-22-020-XX-NRSITZ-00108_d7e368	Sitting Number 108, Legislative period XX, Thursday, 22. January 1998	1998-01-22	Lower house	Legislative period XX	-	-	Sitting 108	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_1998-01-22-020-XX-NRSITZ-00108	ParlaMint-AT_1998-01-22-020-XX-NRSITZ-00108_d7e500	Sitting Number 108, Legislative period XX, Thursday, 22. January 1998	1998-01-22	Lower house	Legislative period XX	-	-	Sitting 108	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
