Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_1998-05-28-020-XX-NRSITZ-00126	ParlaMint-AT_1998-05-28-020-XX-NRSITZ-00126_d7e352	Sitting Number 126, Legislative period XX, Thursday, 28. May 1998	1998-05-28	Lower house	Legislative period XX	-	-	Sitting 126	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_1998-05-28-020-XX-NRSITZ-00126	ParlaMint-AT_1998-05-28-020-XX-NRSITZ-00126_d7e383	Sitting Number 126, Legislative period XX, Thursday, 28. May 1998	1998-05-28	Lower house	Legislative period XX	-	-	Sitting 126	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_1998-05-28-020-XX-NRSITZ-00126	ParlaMint-AT_1998-05-28-020-XX-NRSITZ-00126_d7e478	Sitting Number 126, Legislative period XX, Thursday, 28. May 1998	1998-05-28	Lower house	Legislative period XX	-	-	Sitting 126	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_1998-05-28-020-XX-NRSITZ-00126	ParlaMint-AT_1998-05-28-020-XX-NRSITZ-00126_d7e532	Sitting Number 126, Legislative period XX, Thursday, 28. May 1998	1998-05-28	Lower house	Legislative period XX	-	-	Sitting 126	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
