Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_1998-12-16-020-XX-NRSITZ-00155	ParlaMint-AT_1998-12-16-020-XX-NRSITZ-00155_d7e365	Sitting Number 155, Legislative period XX, Wednesday, 16. December 1998	1998-12-16	Lower house	Legislative period XX	-	-	Sitting 155	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_1998-12-16-020-XX-NRSITZ-00155	ParlaMint-AT_1998-12-16-020-XX-NRSITZ-00155_d7e396	Sitting Number 155, Legislative period XX, Wednesday, 16. December 1998	1998-12-16	Lower house	Legislative period XX	-	-	Sitting 155	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_1998-12-16-020-XX-NRSITZ-00155	ParlaMint-AT_1998-12-16-020-XX-NRSITZ-00155_d7e579	Sitting Number 155, Legislative period XX, Wednesday, 16. December 1998	1998-12-16	Lower house	Legislative period XX	-	-	Sitting 155	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
