Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_1998-09-18-020-XX-NRSITZ-00140	ParlaMint-AT_1998-09-18-020-XX-NRSITZ-00140_d7e507	Sitting Number 140, Legislative period XX, Friday, 18. September 1998	1998-09-18	Lower house	Legislative period XX	-	-	Sitting 140	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01018	Neisser, Heinrich	M	1936	
ParlaMint-AT-en_1998-09-18-020-XX-NRSITZ-00140	ParlaMint-AT_1998-09-18-020-XX-NRSITZ-00140_d7e538	Sitting Number 140, Legislative period XX, Friday, 18. September 1998	1998-09-18	Lower house	Legislative period XX	-	-	Sitting 140	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01018	Neisser, Heinrich	M	1936	
ParlaMint-AT-en_1998-09-18-020-XX-NRSITZ-00140	ParlaMint-AT_1998-09-18-020-XX-NRSITZ-00140_d7e700	Sitting Number 140, Legislative period XX, Friday, 18. September 1998	1998-09-18	Lower house	Legislative period XX	-	-	Sitting 140	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01018	Neisser, Heinrich	M	1936	
ParlaMint-AT-en_1998-09-18-020-XX-NRSITZ-00140	ParlaMint-AT_1998-09-18-020-XX-NRSITZ-00140_d7e720	Sitting Number 140, Legislative period XX, Friday, 18. September 1998	1998-09-18	Lower house	Legislative period XX	-	-	Sitting 140	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01018	Neisser, Heinrich	M	1936	
