Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_1998-04-16-020-XX-NRSITZ-00117	ParlaMint-AT_1998-04-16-020-XX-NRSITZ-00117_d7e321	Sitting Number 117, Legislative period XX, Thursday, 16. April 1998	1998-04-16	Lower house	Legislative period XX	-	-	Sitting 117	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02833	Brauneder, Willi	M	1943	
ParlaMint-AT-en_1998-04-16-020-XX-NRSITZ-00117	ParlaMint-AT_1998-04-16-020-XX-NRSITZ-00117_d7e352	Sitting Number 117, Legislative period XX, Thursday, 16. April 1998	1998-04-16	Lower house	Legislative period XX	-	-	Sitting 117	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02833	Brauneder, Willi	M	1943	
ParlaMint-AT-en_1998-04-16-020-XX-NRSITZ-00117	ParlaMint-AT_1998-04-16-020-XX-NRSITZ-00117_d7e488	Sitting Number 117, Legislative period XX, Thursday, 16. April 1998	1998-04-16	Lower house	Legislative period XX	-	-	Sitting 117	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02833	Brauneder, Willi	M	1943	
