Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_1998-10-08-020-XX-NRSITZ-00144	ParlaMint-AT_1998-10-08-020-XX-NRSITZ-00144_d7e337	Sitting Number 144, Legislative period XX, Thursday, 8. October 1998	1998-10-08	Lower house	Legislative period XX	-	-	Sitting 144	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_1998-10-08-020-XX-NRSITZ-00144	ParlaMint-AT_1998-10-08-020-XX-NRSITZ-00144_d7e368	Sitting Number 144, Legislative period XX, Thursday, 8. October 1998	1998-10-08	Lower house	Legislative period XX	-	-	Sitting 144	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_1998-10-08-020-XX-NRSITZ-00144	ParlaMint-AT_1998-10-08-020-XX-NRSITZ-00144_d7e444	Sitting Number 144, Legislative period XX, Thursday, 8. October 1998	1998-10-08	Lower house	Legislative period XX	-	-	Sitting 144	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
