Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-UA-en_2010-02-25-m0	ParlaMint-UA_2010-02-25-m0.u1	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 6, sitting day 2010-02-25, n0	2010-02-25	Unicameralism	6	6	-	2010-02-25	-	Reference	English	Chairperson	MP	notMinister	frNP10	People's Party Faction 2010-2012	-	Centre to centre-left	ВолодимирМихайловичЛитвин.1956	Lytvyn, Volodymyr Mychajlovyč	M	1956	
ParlaMint-UA-en_2010-02-25-m0	ParlaMint-UA_2010-02-25-m0.u2	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 6, sitting day 2010-02-25, n0	2010-02-25	Unicameralism	6	6	-	2010-02-25	-	Reference	English	Chairperson	MP	notMinister	frNP10	People's Party Faction 2010-2012	-	Centre to centre-left	ВолодимирМихайловичЛитвин.1956	Lytvyn, Volodymyr Mychajlovyč	M	1956	
ParlaMint-UA-en_2010-02-25-m0	ParlaMint-UA_2010-02-25-m0.u3	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 6, sitting day 2010-02-25, n0	2010-02-25	Unicameralism	6	6	-	2010-02-25	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	ВолодимирМиколайовичШаповал.1948	Šapoval, Volodymyr Mykolajovyč	M	1948	
ParlaMint-UA-en_2010-02-25-m0	ParlaMint-UA_2010-02-25-m0.u4	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 6, sitting day 2010-02-25, n0	2010-02-25	Unicameralism	6	6	-	2010-02-25	-	Reference	English	Chairperson	MP	notMinister	frNP10	People's Party Faction 2010-2012	-	Centre to centre-left	ВолодимирМихайловичЛитвин.1956	Lytvyn, Volodymyr Mychajlovyč	M	1956	
ParlaMint-UA-en_2010-02-25-m0	ParlaMint-UA_2010-02-25-m0.u5	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 6, sitting day 2010-02-25, n0	2010-02-25	Unicameralism	6	6	-	2010-02-25	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	АндрійАндрійовичСтрижак.1947	Stryžak, Andrij Andrijovyč	M	1947	
ParlaMint-UA-en_2010-02-25-m0	ParlaMint-UA_2010-02-25-m0.u6	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 6, sitting day 2010-02-25, n0	2010-02-25	Unicameralism	6	6	-	2010-02-25	-	Reference	English	Chairperson	MP	notMinister	frNP10	People's Party Faction 2010-2012	-	Centre to centre-left	ВолодимирМихайловичЛитвин.1956	Lytvyn, Volodymyr Mychajlovyč	M	1956	
ParlaMint-UA-en_2010-02-25-m0	ParlaMint-UA_2010-02-25-m0.u7	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 6, sitting day 2010-02-25, n0	2010-02-25	Unicameralism	6	6	-	2010-02-25	-	Reference	English	Guest	notMP	notMinister	PR	Party of Regions	-	Centre	ВікторФедоровичЯнукович.1950	Janukovyč, Viktor Fedorovyč	M	1950	
ParlaMint-UA-en_2010-02-25-m0	ParlaMint-UA_2010-02-25-m0.u8	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 6, sitting day 2010-02-25, n0	2010-02-25	Unicameralism	6	6	-	2010-02-25	-	Reference	English	Chairperson	MP	notMinister	frNP10	People's Party Faction 2010-2012	-	Centre to centre-left	ВолодимирМихайловичЛитвин.1956	Lytvyn, Volodymyr Mychajlovyč	M	1956	
ParlaMint-UA-en_2010-02-25-m0	ParlaMint-UA_2010-02-25-m0.u9	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 6, sitting day 2010-02-25, n0	2010-02-25	Unicameralism	6	6	-	2010-02-25	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	АндрійАндрійовичСтрижак.1947	Stryžak, Andrij Andrijovyč	M	1947	
ParlaMint-UA-en_2010-02-25-m0	ParlaMint-UA_2010-02-25-m0.u10	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 6, sitting day 2010-02-25, n0	2010-02-25	Unicameralism	6	6	-	2010-02-25	-	Reference	English	Chairperson	MP	notMinister	frNP10	People's Party Faction 2010-2012	-	Centre to centre-left	ВолодимирМихайловичЛитвин.1956	Lytvyn, Volodymyr Mychajlovyč	M	1956	
ParlaMint-UA-en_2010-02-25-m0	ParlaMint-UA_2010-02-25-m0.u11	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 6, sitting day 2010-02-25, n0	2010-02-25	Unicameralism	6	6	-	2010-02-25	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	ВолодимирМиколайовичШаповал.1948	Šapoval, Volodymyr Mykolajovyč	M	1948	
ParlaMint-UA-en_2010-02-25-m0	ParlaMint-UA_2010-02-25-m0.u12	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 6, sitting day 2010-02-25, n0	2010-02-25	Unicameralism	6	6	-	2010-02-25	-	Reference	English	Chairperson	MP	notMinister	frNP10	People's Party Faction 2010-2012	-	Centre to centre-left	ВолодимирМихайловичЛитвин.1956	Lytvyn, Volodymyr Mychajlovyč	M	1956	
ParlaMint-UA-en_2010-02-25-m0	ParlaMint-UA_2010-02-25-m0.u13	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 6, sitting day 2010-02-25, n0	2010-02-25	Unicameralism	6	6	-	2010-02-25	-	Reference	English	Guest	notMP	notMinister	PR	Party of Regions	-	Centre	ВікторФедоровичЯнукович.1950	Janukovyč, Viktor Fedorovyč	M	1950	
