Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2010-04-19-1	ParlaMint-BA_2010-04-19-1.u7657	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 45	2010-04-19	Unicameralism	5. mandat	-	Sjednica 45	2010-04-19	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	TihićSulejman	Tihić, Sulejman	M	1951	
ParlaMint-BA-en_2010-04-19-1	ParlaMint-BA_2010-04-19-1.u7660	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 45	2010-04-19	Unicameralism	5. mandat	-	Sjednica 45	2010-04-19	-	Reference	English	Regular	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	-	Centre-right	JovićIvoMiro	Jović, Ivo Miro	M	1950	
ParlaMint-BA-en_2010-04-19-1	ParlaMint-BA_2010-04-19-1.u7661	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 45	2010-04-19	Unicameralism	5. mandat	-	Sjednica 45	2010-04-19	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	TihićSulejman	Tihić, Sulejman	M	1951	
ParlaMint-BA-en_2010-04-19-1	ParlaMint-BA_2010-04-19-1.u7662	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 45	2010-04-19	Unicameralism	5. mandat	-	Sjednica 45	2010-04-19	-	Reference	English	Regular	MP	notMinister	SDS	Srpska demokratska stranka	Opposition	Centre-right to right	ŠarabaSlobodan	Šaraba, Slobodan	M	1960	
ParlaMint-BA-en_2010-04-19-1	ParlaMint-BA_2010-04-19-1.u7663	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 45	2010-04-19	Unicameralism	5. mandat	-	Sjednica 45	2010-04-19	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	TihićSulejman	Tihić, Sulejman	M	1951	
ParlaMint-BA-en_2010-04-19-1	ParlaMint-BA_2010-04-19-1.u7664	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 45	2010-04-19	Unicameralism	5. mandat	-	Sjednica 45	2010-04-19	-	Reference	English	Regular	MP	notMinister	HDZ_1990	Hrvatska demokratska zajednica 1991	-	Centre-right	LjubićBožo	Ljubić, Božo	M	1949	
ParlaMint-BA-en_2010-04-19-1	ParlaMint-BA_2010-04-19-1.u7665	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 45	2010-04-19	Unicameralism	5. mandat	-	Sjednica 45	2010-04-19	-	Reference	English	Regular	MP	notMinister	SDS	Srpska demokratska stranka	Opposition	Centre-right to right	ŠarabaSlobodan	Šaraba, Slobodan	M	1960	
ParlaMint-BA-en_2010-04-19-1	ParlaMint-BA_2010-04-19-1.u7666	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 45	2010-04-19	Unicameralism	5. mandat	-	Sjednica 45	2010-04-19	-	Reference	English	Regular	MP	notMinister	HDZ_1990	Hrvatska demokratska zajednica 1991	-	Centre-right	LjubićBožo	Ljubić, Božo	M	1949	
ParlaMint-BA-en_2010-04-19-1	ParlaMint-BA_2010-04-19-1.u7667	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 45	2010-04-19	Unicameralism	5. mandat	-	Sjednica 45	2010-04-19	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	TihićSulejman	Tihić, Sulejman	M	1951	
ParlaMint-BA-en_2010-04-19-1	ParlaMint-BA_2010-04-19-1.u7668	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 45	2010-04-19	Unicameralism	5. mandat	-	Sjednica 45	2010-04-19	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	RančićHazim	Rančić, Hazim	M	1961	
ParlaMint-BA-en_2010-04-19-1	ParlaMint-BA_2010-04-19-1.u7669	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 45	2010-04-19	Unicameralism	5. mandat	-	Sjednica 45	2010-04-19	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	TihićSulejman	Tihić, Sulejman	M	1951	
