Session,Date,Male,Female
ParlaMint-FI-en_2015-04-28-ps-1-meta.tsv,2015-04-28,4,0
ParlaMint-FI-en_2015-05-05-ps-2-meta.tsv,2015-05-05,10,4
ParlaMint-FI-en_2015-05-06-ps-3-meta.tsv,2015-05-06,1,0
ParlaMint-FI-en_2015-05-12-ps-4-meta.tsv,2015-05-12,11,9
ParlaMint-FI-en_2015-05-19-ps-5-meta.tsv,2015-05-19,2,0
ParlaMint-FI-en_2015-05-22-ps-6-meta.tsv,2015-05-22,1,0
ParlaMint-FI-en_2015-05-22-ps-7-meta.tsv,2015-05-22,14,4
ParlaMint-FI-en_2015-05-26-ps-8-meta.tsv,2015-05-26,14,6
ParlaMint-FI-en_2015-05-28-ps-10-meta.tsv,2015-05-28,1,0
ParlaMint-FI-en_2015-05-28-ps-9-meta.tsv,2015-05-28,1,0
ParlaMint-FI-en_2015-05-29-ps-11-meta.tsv,2015-05-29,1,1
ParlaMint-FI-en_2015-05-29-ps-12-meta.tsv,2015-05-29,1,2
ParlaMint-FI-en_2015-06-02-ps-13-meta.tsv,2015-06-02,64,58
ParlaMint-FI-en_2015-06-03-ps-14-meta.tsv,2015-06-03,60,42
ParlaMint-FI-en_2015-06-04-ps-15-meta.tsv,2015-06-04,3,1
ParlaMint-FI-en_2015-06-05-ps-16-meta.tsv,2015-06-05,7,6
ParlaMint-FI-en_2015-06-09-ps-17-meta.tsv,2015-06-09,1,2
ParlaMint-FI-en_2015-06-10-ps-18-meta.tsv,2015-06-10,11,9
ParlaMint-FI-en_2015-06-11-ps-19-meta.tsv,2015-06-11,21,13
ParlaMint-FI-en_2015-06-12-ps-20-meta.tsv,2015-06-12,1,4
ParlaMint-FI-en_2015-06-16-ps-21-meta.tsv,2015-06-16,22,21
ParlaMint-FI-en_2015-06-17-ps-22-meta.tsv,2015-06-17,24,18
ParlaMint-FI-en_2015-06-23-ps-23-meta.tsv,2015-06-23,4,0
ParlaMint-FI-en_2015-06-24-ps-24-meta.tsv,2015-06-24,38,33
ParlaMint-FI-en_2015-06-25-ps-25-meta.tsv,2015-06-25,29,24
ParlaMint-FI-en_2015-06-26-ps-26-meta.tsv,2015-06-26,1,2
ParlaMint-FI-en_2015-06-29-ps-27-meta.tsv,2015-06-29,30,22
ParlaMint-FI-en_2015-06-30-ps-28-meta.tsv,2015-06-30,1,1
ParlaMint-FI-en_2015-09-08-ps-29-meta.tsv,2015-09-08,19,23
ParlaMint-FI-en_2015-09-09-ps-30-meta.tsv,2015-09-09,2,2
ParlaMint-FI-en_2015-09-10-ps-31-meta.tsv,2015-09-10,31,16
ParlaMint-FI-en_2015-09-11-ps-32-meta.tsv,2015-09-11,3,8
ParlaMint-FI-en_2015-09-15-ps-33-meta.tsv,2015-09-15,10,14
ParlaMint-FI-en_2015-09-16-ps-34-meta.tsv,2015-09-16,5,4
ParlaMint-FI-en_2015-09-17-ps-35-meta.tsv,2015-09-17,22,11
ParlaMint-FI-en_2015-09-18-ps-36-meta.tsv,2015-09-18,5,5
ParlaMint-FI-en_2015-09-22-ps-37-meta.tsv,2015-09-22,41,41
ParlaMint-FI-en_2015-09-23-ps-38-meta.tsv,2015-09-23,31,20
ParlaMint-FI-en_2015-09-24-ps-39-meta.tsv,2015-09-24,27,20
ParlaMint-FI-en_2015-09-25-ps-40-meta.tsv,2015-09-25,3,6
ParlaMint-FI-en_2015-09-29-ps-41-meta.tsv,2015-09-29,63,47
