Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2000-02-10-021-XXI-NRSITZ-00010	ParlaMint-AT_2000-02-10-021-XXI-NRSITZ-00010_d7e391	Sitting Number 10, Legislative period XXI, Thursday, 10. February 2000	2000-02-10	Lower house	Legislative period XXI	-	-	Sitting 10	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_00302	Fasslabend, Werner	M	1944	
ParlaMint-AT-en_2000-02-10-021-XXI-NRSITZ-00010	ParlaMint-AT_2000-02-10-021-XXI-NRSITZ-00010_d7e425	Sitting Number 10, Legislative period XXI, Thursday, 10. February 2000	2000-02-10	Lower house	Legislative period XXI	-	-	Sitting 10	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_00302	Fasslabend, Werner	M	1944	
ParlaMint-AT-en_2000-02-10-021-XXI-NRSITZ-00010	ParlaMint-AT_2000-02-10-021-XXI-NRSITZ-00010_d7e495	Sitting Number 10, Legislative period XXI, Thursday, 10. February 2000	2000-02-10	Lower house	Legislative period XXI	-	-	Sitting 10	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_00302	Fasslabend, Werner	M	1944	
