Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2000-03-22-021-XXI-NRSITZ-00018	ParlaMint-AT_2000-03-22-021-XXI-NRSITZ-00018_d7e427	Sitting Number 18, Legislative period XXI, Wednesday, 22. March 2000	2000-03-22	Lower house	Legislative period XXI	-	-	Sitting 18	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_00302	Fasslabend, Werner	M	1944	
ParlaMint-AT-en_2000-03-22-021-XXI-NRSITZ-00018	ParlaMint-AT_2000-03-22-021-XXI-NRSITZ-00018_d7e458	Sitting Number 18, Legislative period XXI, Wednesday, 22. March 2000	2000-03-22	Lower house	Legislative period XXI	-	-	Sitting 18	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_00302	Fasslabend, Werner	M	1944	
ParlaMint-AT-en_2000-03-22-021-XXI-NRSITZ-00018	ParlaMint-AT_2000-03-22-021-XXI-NRSITZ-00018_d7e635	Sitting Number 18, Legislative period XXI, Wednesday, 22. March 2000	2000-03-22	Lower house	Legislative period XXI	-	-	Sitting 18	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_00302	Fasslabend, Werner	M	1944	
