Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2000-06-08-021-XXI-NRSITZ-00031	ParlaMint-AT_2000-06-08-021-XXI-NRSITZ-00031_d7e458	Sitting Number 31, Legislative period XXI, Thursday, 8. June 2000	2000-06-08	Lower house	Legislative period XXI	-	-	Sitting 31	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_03613	Prinzhorn, Thomas	M	1943	
ParlaMint-AT-en_2000-06-08-021-XXI-NRSITZ-00031	ParlaMint-AT_2000-06-08-021-XXI-NRSITZ-00031_d7e492	Sitting Number 31, Legislative period XXI, Thursday, 8. June 2000	2000-06-08	Lower house	Legislative period XXI	-	-	Sitting 31	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_03613	Prinzhorn, Thomas	M	1943	
ParlaMint-AT-en_2000-06-08-021-XXI-NRSITZ-00031	ParlaMint-AT_2000-06-08-021-XXI-NRSITZ-00031_d7e728	Sitting Number 31, Legislative period XXI, Thursday, 8. June 2000	2000-06-08	Lower house	Legislative period XXI	-	-	Sitting 31	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_03613	Prinzhorn, Thomas	M	1943	
