Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2000-01-26-021-XXI-NRSITZ-00007	ParlaMint-AT_2000-01-26-021-XXI-NRSITZ-00007_d7e395	Sitting Number 7, Legislative period XXI, Wednesday, 26. January 2000	2000-01-26	Lower house	Legislative period XXI	-	-	Sitting 7	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_03613	Prinzhorn, Thomas	M	1943	
ParlaMint-AT-en_2000-01-26-021-XXI-NRSITZ-00007	ParlaMint-AT_2000-01-26-021-XXI-NRSITZ-00007_d7e444	Sitting Number 7, Legislative period XXI, Wednesday, 26. January 2000	2000-01-26	Lower house	Legislative period XXI	-	-	Sitting 7	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_03613	Prinzhorn, Thomas	M	1943	
ParlaMint-AT-en_2000-01-26-021-XXI-NRSITZ-00007	ParlaMint-AT_2000-01-26-021-XXI-NRSITZ-00007_d7e700	Sitting Number 7, Legislative period XXI, Wednesday, 26. January 2000	2000-01-26	Lower house	Legislative period XXI	-	-	Sitting 7	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_03613	Prinzhorn, Thomas	M	1943	
