Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2000-04-27-021-XXI-NRSITZ-00021	ParlaMint-AT_2000-04-27-021-XXI-NRSITZ-00021_d7e410	Sitting Number 21, Legislative period XXI, Thursday, 27. April 2000	2000-04-27	Lower house	Legislative period XXI	-	-	Sitting 21	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_2000-04-27-021-XXI-NRSITZ-00021	ParlaMint-AT_2000-04-27-021-XXI-NRSITZ-00021_d7e441	Sitting Number 21, Legislative period XXI, Thursday, 27. April 2000	2000-04-27	Lower house	Legislative period XXI	-	-	Sitting 21	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_2000-04-27-021-XXI-NRSITZ-00021	ParlaMint-AT_2000-04-27-021-XXI-NRSITZ-00021_d7e571	Sitting Number 21, Legislative period XXI, Thursday, 27. April 2000	2000-04-27	Lower house	Legislative period XXI	-	-	Sitting 21	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
