Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2000-03-02-021-XXI-NRSITZ-00014	ParlaMint-AT_2000-03-02-021-XXI-NRSITZ-00014_d7e367	Sitting Number 14, Legislative period XXI, Thursday, 2. March 2000	2000-03-02	Lower house	Legislative period XXI	-	-	Sitting 14	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_00302	Fasslabend, Werner	M	1944	
ParlaMint-AT-en_2000-03-02-021-XXI-NRSITZ-00014	ParlaMint-AT_2000-03-02-021-XXI-NRSITZ-00014_d7e398	Sitting Number 14, Legislative period XXI, Thursday, 2. March 2000	2000-03-02	Lower house	Legislative period XXI	-	-	Sitting 14	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_00302	Fasslabend, Werner	M	1944	
ParlaMint-AT-en_2000-03-02-021-XXI-NRSITZ-00014	ParlaMint-AT_2000-03-02-021-XXI-NRSITZ-00014_d7e541	Sitting Number 14, Legislative period XXI, Thursday, 2. March 2000	2000-03-02	Lower house	Legislative period XXI	-	-	Sitting 14	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_00302	Fasslabend, Werner	M	1944	
