Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2000-12-14-021-XXI-NRSITZ-00053	ParlaMint-AT_2000-12-14-021-XXI-NRSITZ-00053_d7e473	Sitting Number 53, Legislative period XXI, Thursday, 14. December 2000	2000-12-14	Lower house	Legislative period XXI	-	-	Sitting 53	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_2000-12-14-021-XXI-NRSITZ-00053	ParlaMint-AT_2000-12-14-021-XXI-NRSITZ-00053_d7e504	Sitting Number 53, Legislative period XXI, Thursday, 14. December 2000	2000-12-14	Lower house	Legislative period XXI	-	-	Sitting 53	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_2000-12-14-021-XXI-NRSITZ-00053	ParlaMint-AT_2000-12-14-021-XXI-NRSITZ-00053_d7e659	Sitting Number 53, Legislative period XXI, Thursday, 14. December 2000	2000-12-14	Lower house	Legislative period XXI	-	-	Sitting 53	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
