Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-UA-en_2021-09-08-m1	ParlaMint-UA_2021-09-08-m1.u1	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 6, sitting day 2021-09-08, n1	2021-09-08	Unicameralism	9	6	-	2021-09-08	-	COVID	English	Chairperson	MP	notMinister	SN	Servant of the People	-	Centre	ДмитроОлександровичРазумков.1983	Razumkov, Dmytro Oleksandrovyč	M	1983	
ParlaMint-UA-en_2021-09-08-m1	ParlaMint-UA_2021-09-08-m1.u2	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 6, sitting day 2021-09-08, n1	2021-09-08	Unicameralism	9	6	-	2021-09-08	-	COVID	English	Regular	MP	notMinister	frHolos	Holos Faction	Opposition	Centre-right	ЯрославІвановичЖелезняк.1989	Železnjak, Jaroslav Ivanovyč	M	1989	
ParlaMint-UA-en_2021-09-08-m1	ParlaMint-UA_2021-09-08-m1.u3	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 6, sitting day 2021-09-08, n1	2021-09-08	Unicameralism	9	6	-	2021-09-08	-	COVID	English	Regular	MP	notMinister	frSN	Servant of the People Faction	Coalition	Centre	ЄлизаветаОлексіївнаЯсько.1990	Jas'ko, Jelyzaveta Oleksiïvna	F	1990	
ParlaMint-UA-en_2021-09-08-m1	ParlaMint-UA_2021-09-08-m1.u4	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 6, sitting day 2021-09-08, n1	2021-09-08	Unicameralism	9	6	-	2021-09-08	-	COVID	English	Regular	MP	notMinister	frES	European Solidarity Faction	Opposition	Centre-right	АхтемЗейтуллайовичЧийгоз.1964	Čyjhoz, Achtem Zejtullajovyč	M	1964	
ParlaMint-UA-en_2021-09-08-m1	ParlaMint-UA_2021-09-08-m1.u5	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 6, sitting day 2021-09-08, n1	2021-09-08	Unicameralism	9	6	-	2021-09-08	-	COVID	English	Chairperson	MP	notMinister	SN	Servant of the People	-	Centre	ДмитроОлександровичРазумков.1983	Razumkov, Dmytro Oleksandrovyč	M	1983	
ParlaMint-UA-en_2021-09-08-m1	ParlaMint-UA_2021-09-08-m1.u6	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 6, sitting day 2021-09-08, n1	2021-09-08	Unicameralism	9	6	-	2021-09-08	-	COVID	English	Regular	MP	notMinister	frES	European Solidarity Faction	Opposition	Centre-right	ОлексійОлексійовичГончаренко.1980	Hončarenko, Oleksij Oleksijovyč	M	1980	
ParlaMint-UA-en_2021-09-08-m1	ParlaMint-UA_2021-09-08-m1.u7	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 6, sitting day 2021-09-08, n1	2021-09-08	Unicameralism	9	6	-	2021-09-08	-	COVID	English	Chairperson	MP	notMinister	SN	Servant of the People	-	Centre	ДмитроОлександровичРазумков.1983	Razumkov, Dmytro Oleksandrovyč	M	1983	
ParlaMint-UA-en_2021-09-08-m1	ParlaMint-UA_2021-09-08-m1.u8	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 6, sitting day 2021-09-08, n1	2021-09-08	Unicameralism	9	6	-	2021-09-08	-	COVID	English	Regular	MP	notMinister	frSN	Servant of the People Faction	Coalition	Centre	ОлександрОлександровичМережко.1971	Merežko, Oleksandr Oleksandrovyč	M	1971	
ParlaMint-UA-en_2021-09-08-m1	ParlaMint-UA_2021-09-08-m1.u9	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 6, sitting day 2021-09-08, n1	2021-09-08	Unicameralism	9	6	-	2021-09-08	-	COVID	English	Chairperson	MP	notMinister	SN	Servant of the People	-	Centre	ДмитроОлександровичРазумков.1983	Razumkov, Dmytro Oleksandrovyč	M	1983	
ParlaMint-UA-en_2021-09-08-m1	ParlaMint-UA_2021-09-08-m1.u10	Ukrainian parliamentary corpus ParlaMint-UA-en, term 9, session 6, sitting day 2021-09-08, n1	2021-09-08	Unicameralism	9	6	-	2021-09-08	-	COVID	English	Regular	MP	notMinister	frBatkivshchyna	All-Ukrainian Union "Fatherland" Faction	Opposition	Centre	ГригорійМихайловичНемиря.1960	Nemyrja, Hryhorij Mychajlovyč	M	1960	
