Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2015-10-15-54-plenair-ip075x	ParlaMint-BE_2015-10-15-54-plenair-ip075x.u1	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 15-10-2015	2015-10-15	Lower house	Zittingperiode 54	-	Plenaire zitting 075 van 15-10-2015	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	BrackeSiegfried	Bracke, Siegfried	M	1953	
ParlaMint-BE-en_2015-10-15-54-plenair-ip075x	ParlaMint-BE_2015-10-15-54-plenair-ip075x.u2	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 15-10-2015	2015-10-15	Lower house	Zittingperiode 54	-	Plenaire zitting 075 van 15-10-2015	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	BrackeSiegfried	Bracke, Siegfried	M	1953	
ParlaMint-BE-en_2015-10-15-54-plenair-ip075x	ParlaMint-BE_2015-10-15-54-plenair-ip075x.u3	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 15-10-2015	2015-10-15	Lower house	Zittingperiode 54	-	Plenaire zitting 075 van 15-10-2015	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	TemmermanKarin	Temmerman, Karin	F	1958	
ParlaMint-BE-en_2015-10-15-54-plenair-ip075x	ParlaMint-BE_2015-10-15-54-plenair-ip075x.u4	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 15-10-2015	2015-10-15	Lower house	Zittingperiode 54	-	Plenaire zitting 075 van 15-10-2015	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	BrackeSiegfried	Bracke, Siegfried	M	1953	
ParlaMint-BE-en_2015-10-15-54-plenair-ip075x	ParlaMint-BE_2015-10-15-54-plenair-ip075x.u5	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 15-10-2015	2015-10-15	Lower house	Zittingperiode 54	-	Plenaire zitting 075 van 15-10-2015	-	-	Reference	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	FonckCatherine	Fonck, Catherine	F	1968	
ParlaMint-BE-en_2015-10-15-54-plenair-ip075x	ParlaMint-BE_2015-10-15-54-plenair-ip075x.u6	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 15-10-2015	2015-10-15	Lower house	Zittingperiode 54	-	Plenaire zitting 075 van 15-10-2015	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MichelCharles	Michel, Charles	M	1975	
ParlaMint-BE-en_2015-10-15-54-plenair-ip075x	ParlaMint-BE_2015-10-15-54-plenair-ip075x.u7	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 15-10-2015	2015-10-15	Lower house	Zittingperiode 54	-	Plenaire zitting 075 van 15-10-2015	-	-	Reference	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	FonckCatherine	Fonck, Catherine	F	1968	
ParlaMint-BE-en_2015-10-15-54-plenair-ip075x	ParlaMint-BE_2015-10-15-54-plenair-ip075x.u8	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 15-10-2015	2015-10-15	Lower house	Zittingperiode 54	-	Plenaire zitting 075 van 15-10-2015	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MichelCharles	Michel, Charles	M	1975	
ParlaMint-BE-en_2015-10-15-54-plenair-ip075x	ParlaMint-BE_2015-10-15-54-plenair-ip075x.u9	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 15-10-2015	2015-10-15	Lower house	Zittingperiode 54	-	Plenaire zitting 075 van 15-10-2015	-	-	Reference	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	FonckCatherine	Fonck, Catherine	F	1968	
ParlaMint-BE-en_2015-10-15-54-plenair-ip075x	ParlaMint-BE_2015-10-15-54-plenair-ip075x.u10	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 15-10-2015	2015-10-15	Lower house	Zittingperiode 54	-	Plenaire zitting 075 van 15-10-2015	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MichelCharles	Michel, Charles	M	1975	
ParlaMint-BE-en_2015-10-15-54-plenair-ip075x	ParlaMint-BE_2015-10-15-54-plenair-ip075x.u11	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 15-10-2015	2015-10-15	Lower house	Zittingperiode 54	-	Plenaire zitting 075 van 15-10-2015	-	-	Reference	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	FonckCatherine	Fonck, Catherine	F	1968	
