Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2015-01-28-54-commissie-ic068x	ParlaMint-BE_2015-01-28-54-commissie-ic068x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 28-01-2015	2015-01-28	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VanRompuyEric	Van Rompuy, Eric	M	1949	
ParlaMint-BE-en_2015-01-28-54-commissie-ic068x	ParlaMint-BE_2015-01-28-54-commissie-ic068x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 28-01-2015	2015-01-28	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	DeseynRoel	Deseyn, Roel	M	1976	
ParlaMint-BE-en_2015-01-28-54-commissie-ic068x	ParlaMint-BE_2015-01-28-54-commissie-ic068x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 28-01-2015	2015-01-28	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	SleursElke	Sleurs, Elke	F	1968	
ParlaMint-BE-en_2015-01-28-54-commissie-ic068x	ParlaMint-BE_2015-01-28-54-commissie-ic068x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 28-01-2015	2015-01-28	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	DeseynRoel	Deseyn, Roel	M	1976	
ParlaMint-BE-en_2015-01-28-54-commissie-ic068x	ParlaMint-BE_2015-01-28-54-commissie-ic068x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 28-01-2015	2015-01-28	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VanRompuyEric	Van Rompuy, Eric	M	1949	
ParlaMint-BE-en_2015-01-28-54-commissie-ic068x	ParlaMint-BE_2015-01-28-54-commissie-ic068x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 28-01-2015	2015-01-28	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	SleursElke	Sleurs, Elke	F	1968	
ParlaMint-BE-en_2015-01-28-54-commissie-ic068x	ParlaMint-BE_2015-01-28-54-commissie-ic068x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 28-01-2015	2015-01-28	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VanRompuyEric	Van Rompuy, Eric	M	1949	
ParlaMint-BE-en_2015-01-28-54-commissie-ic068x	ParlaMint-BE_2015-01-28-54-commissie-ic068x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 28-01-2015	2015-01-28	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	VanhesteAnn	Vanheste, Ann	F	1969	
ParlaMint-BE-en_2015-01-28-54-commissie-ic068x	ParlaMint-BE_2015-01-28-54-commissie-ic068x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 28-01-2015	2015-01-28	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VanRompuyEric	Van Rompuy, Eric	M	1949	
ParlaMint-BE-en_2015-01-28-54-commissie-ic068x	ParlaMint-BE_2015-01-28-54-commissie-ic068x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 28-01-2015	2015-01-28	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	SleursElke	Sleurs, Elke	F	1968	
ParlaMint-BE-en_2015-01-28-54-commissie-ic068x	ParlaMint-BE_2015-01-28-54-commissie-ic068x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 28-01-2015	2015-01-28	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	VanhesteAnn	Vanheste, Ann	F	1969	
