Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2015-03-30-54-commissie-ic131x	ParlaMint-BE_2015-03-30-54-commissie-ic131x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-03-2015	2015-03-30	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	DallemagneGeorges	Dallemagne, Georges	M	1958	
ParlaMint-BE-en_2015-03-30-54-commissie-ic131x	ParlaMint-BE_2015-03-30-54-commissie-ic131x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-03-2015	2015-03-30	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	BlanchartPhilippe	Blanchart, Philippe	M	1963	
ParlaMint-BE-en_2015-03-30-54-commissie-ic131x	ParlaMint-BE_2015-03-30-54-commissie-ic131x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-03-2015	2015-03-30	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	VanderMaelenDirk	Van der Maelen, Dirk	M	1953	
ParlaMint-BE-en_2015-03-30-54-commissie-ic131x	ParlaMint-BE_2015-03-30-54-commissie-ic131x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-03-2015	2015-03-30	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	VanderMaelenDirk	Van der Maelen, Dirk	M	1953	
ParlaMint-BE-en_2015-03-30-54-commissie-ic131x	ParlaMint-BE_2015-03-30-54-commissie-ic131x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-03-2015	2015-03-30	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	Minister	MR	Mouvement Réformateur	Coalition	Centre-right	ReyndersDidier	Reynders, Didier	M	1958	
ParlaMint-BE-en_2015-03-30-54-commissie-ic131x	ParlaMint-BE_2015-03-30-54-commissie-ic131x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-03-2015	2015-03-30	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	DallemagneGeorges	Dallemagne, Georges	M	1958	
ParlaMint-BE-en_2015-03-30-54-commissie-ic131x	ParlaMint-BE_2015-03-30-54-commissie-ic131x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-03-2015	2015-03-30	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	VanderMaelenDirk	Van der Maelen, Dirk	M	1953	
ParlaMint-BE-en_2015-03-30-54-commissie-ic131x	ParlaMint-BE_2015-03-30-54-commissie-ic131x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-03-2015	2015-03-30	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	BlanchartPhilippe	Blanchart, Philippe	M	1963	
ParlaMint-BE-en_2015-03-30-54-commissie-ic131x	ParlaMint-BE_2015-03-30-54-commissie-ic131x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-03-2015	2015-03-30	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	VanderMaelenDirk	Van der Maelen, Dirk	M	1953	
