Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2015-12-14-54-plenair-ip086x	ParlaMint-BE_2015-12-14-54-plenair-ip086x.u1	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 14-12-2015	2015-12-14	Lower house	Zittingperiode 54	-	Plenaire zitting 086 van 14-12-2015	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	BrackeSiegfried	Bracke, Siegfried	M	1953	
ParlaMint-BE-en_2015-12-14-54-plenair-ip086x	ParlaMint-BE_2015-12-14-54-plenair-ip086x.u2	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 14-12-2015	2015-12-14	Lower house	Zittingperiode 54	-	Plenaire zitting 086 van 14-12-2015	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	BrackeSiegfried	Bracke, Siegfried	M	1953	
ParlaMint-BE-en_2015-12-14-54-plenair-ip086x	ParlaMint-BE_2015-12-14-54-plenair-ip086x.u3	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 14-12-2015	2015-12-14	Lower house	Zittingperiode 54	-	Plenaire zitting 086 van 14-12-2015	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	NolletJeanMarc	Nollet, Jean-Marc	M	1970	
ParlaMint-BE-en_2015-12-14-54-plenair-ip086x	ParlaMint-BE_2015-12-14-54-plenair-ip086x.u4	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 14-12-2015	2015-12-14	Lower house	Zittingperiode 54	-	Plenaire zitting 086 van 14-12-2015	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	BrackeSiegfried	Bracke, Siegfried	M	1953	
ParlaMint-BE-en_2015-12-14-54-plenair-ip086x	ParlaMint-BE_2015-12-14-54-plenair-ip086x.u5	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 14-12-2015	2015-12-14	Lower house	Zittingperiode 54	-	Plenaire zitting 086 van 14-12-2015	-	-	Reference	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	FonckCatherine	Fonck, Catherine	F	1968	
ParlaMint-BE-en_2015-12-14-54-plenair-ip086x	ParlaMint-BE_2015-12-14-54-plenair-ip086x.u6	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 14-12-2015	2015-12-14	Lower house	Zittingperiode 54	-	Plenaire zitting 086 van 14-12-2015	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	BrackeSiegfried	Bracke, Siegfried	M	1953	
ParlaMint-BE-en_2015-12-14-54-plenair-ip086x	ParlaMint-BE_2015-12-14-54-plenair-ip086x.u7	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 14-12-2015	2015-12-14	Lower house	Zittingperiode 54	-	Plenaire zitting 086 van 14-12-2015	-	-	Reference	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	FonckCatherine	Fonck, Catherine	F	1968	
ParlaMint-BE-en_2015-12-14-54-plenair-ip086x	ParlaMint-BE_2015-12-14-54-plenair-ip086x.u8	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 14-12-2015	2015-12-14	Lower house	Zittingperiode 54	-	Plenaire zitting 086 van 14-12-2015	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	VanderMaelenDirk	Van der Maelen, Dirk	M	1953	
ParlaMint-BE-en_2015-12-14-54-plenair-ip086x	ParlaMint-BE_2015-12-14-54-plenair-ip086x.u9	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 14-12-2015	2015-12-14	Lower house	Zittingperiode 54	-	Plenaire zitting 086 van 14-12-2015	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	BrackeSiegfried	Bracke, Siegfried	M	1953	
ParlaMint-BE-en_2015-12-14-54-plenair-ip086x	ParlaMint-BE_2015-12-14-54-plenair-ip086x.u10	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 14-12-2015	2015-12-14	Lower house	Zittingperiode 54	-	Plenaire zitting 086 van 14-12-2015	-	-	Reference	English	Regular	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	DewaelPatrick	Dewael, Patrick	M	1955	
ParlaMint-BE-en_2015-12-14-54-plenair-ip086x	ParlaMint-BE_2015-12-14-54-plenair-ip086x.u11	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 14-12-2015	2015-12-14	Lower house	Zittingperiode 54	-	Plenaire zitting 086 van 14-12-2015	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	BrackeSiegfried	Bracke, Siegfried	M	1953	
