Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2015-06-23-54-commissie-ic200x	ParlaMint-BE_2015-06-23-54-commissie-ic200x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-06-2015	2015-06-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	DedeckerPeter	Dedecker, Peter	M	1983	
ParlaMint-BE-en_2015-06-23-54-commissie-ic200x	ParlaMint-BE_2015-06-23-54-commissie-ic200x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-06-2015	2015-06-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	TommeleinBart	Tommelein, Bart	M	1962	
ParlaMint-BE-en_2015-06-23-54-commissie-ic200x	ParlaMint-BE_2015-06-23-54-commissie-ic200x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-06-2015	2015-06-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	DedeckerPeter	Dedecker, Peter	M	1983	
ParlaMint-BE-en_2015-06-23-54-commissie-ic200x	ParlaMint-BE_2015-06-23-54-commissie-ic200x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-06-2015	2015-06-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	DedeckerPeter	Dedecker, Peter	M	1983	
ParlaMint-BE-en_2015-06-23-54-commissie-ic200x	ParlaMint-BE_2015-06-23-54-commissie-ic200x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-06-2015	2015-06-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	TommeleinBart	Tommelein, Bart	M	1962	
ParlaMint-BE-en_2015-06-23-54-commissie-ic200x	ParlaMint-BE_2015-06-23-54-commissie-ic200x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-06-2015	2015-06-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	DedeckerPeter	Dedecker, Peter	M	1983	
ParlaMint-BE-en_2015-06-23-54-commissie-ic200x	ParlaMint-BE_2015-06-23-54-commissie-ic200x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-06-2015	2015-06-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	GeertsDavid	Geerts, David	M	1975	
ParlaMint-BE-en_2015-06-23-54-commissie-ic200x	ParlaMint-BE_2015-06-23-54-commissie-ic200x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-06-2015	2015-06-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	MassinEric	Massin, Eric	M	1963	
ParlaMint-BE-en_2015-06-23-54-commissie-ic200x	ParlaMint-BE_2015-06-23-54-commissie-ic200x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-06-2015	2015-06-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	TommeleinBart	Tommelein, Bart	M	1962	
ParlaMint-BE-en_2015-06-23-54-commissie-ic200x	ParlaMint-BE_2015-06-23-54-commissie-ic200x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-06-2015	2015-06-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	GeertsDavid	Geerts, David	M	1975	
ParlaMint-BE-en_2015-06-23-54-commissie-ic200x	ParlaMint-BE_2015-06-23-54-commissie-ic200x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 23-06-2015	2015-06-23	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	TommeleinBart	Tommelein, Bart	M	1962	
