Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2015-05-05-54-commissie-ic156x	ParlaMint-BE_2015-05-05-54-commissie-ic156x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-05-2015	2015-05-05	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	GeertsDavid	Geerts, David	M	1975	
ParlaMint-BE-en_2015-05-05-54-commissie-ic156x	ParlaMint-BE_2015-05-05-54-commissie-ic156x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-05-2015	2015-05-05	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	TommeleinBart	Tommelein, Bart	M	1962	
ParlaMint-BE-en_2015-05-05-54-commissie-ic156x	ParlaMint-BE_2015-05-05-54-commissie-ic156x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-05-2015	2015-05-05	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	GeertsDavid	Geerts, David	M	1975	
ParlaMint-BE-en_2015-05-05-54-commissie-ic156x	ParlaMint-BE_2015-05-05-54-commissie-ic156x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-05-2015	2015-05-05	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	GeertsDavid	Geerts, David	M	1975	
ParlaMint-BE-en_2015-05-05-54-commissie-ic156x	ParlaMint-BE_2015-05-05-54-commissie-ic156x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-05-2015	2015-05-05	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	TommeleinBart	Tommelein, Bart	M	1962	
ParlaMint-BE-en_2015-05-05-54-commissie-ic156x	ParlaMint-BE_2015-05-05-54-commissie-ic156x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-05-2015	2015-05-05	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	GeertsDavid	Geerts, David	M	1975	
