Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2015-11-13-54-commissie-ic266x	ParlaMint-BE_2015-11-13-54-commissie-ic266x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2015	2015-11-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2015-11-13-54-commissie-ic266x	ParlaMint-BE_2015-11-13-54-commissie-ic266x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2015	2015-11-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2015-11-13-54-commissie-ic266x	ParlaMint-BE_2015-11-13-54-commissie-ic266x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2015	2015-11-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	MatzVanessa	Matz, Vanessa	F	1973	
ParlaMint-BE-en_2015-11-13-54-commissie-ic266x	ParlaMint-BE_2015-11-13-54-commissie-ic266x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2015	2015-11-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	HellingsBenoit	Hellings, Benoit	M	1978	
ParlaMint-BE-en_2015-11-13-54-commissie-ic266x	ParlaMint-BE_2015-11-13-54-commissie-ic266x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2015	2015-11-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2015-11-13-54-commissie-ic266x	ParlaMint-BE_2015-11-13-54-commissie-ic266x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2015	2015-11-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	HellingsBenoit	Hellings, Benoit	M	1978	
ParlaMint-BE-en_2015-11-13-54-commissie-ic266x	ParlaMint-BE_2015-11-13-54-commissie-ic266x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2015	2015-11-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2015-11-13-54-commissie-ic266x	ParlaMint-BE_2015-11-13-54-commissie-ic266x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2015	2015-11-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	HellingsBenoit	Hellings, Benoit	M	1978	
ParlaMint-BE-en_2015-11-13-54-commissie-ic266x	ParlaMint-BE_2015-11-13-54-commissie-ic266x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2015	2015-11-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	LalieuxKarine	Lalieux, Karine	F	1964	
ParlaMint-BE-en_2015-11-13-54-commissie-ic266x	ParlaMint-BE_2015-11-13-54-commissie-ic266x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2015	2015-11-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	VanHeesMarco	Van Hees, Marco	M	1964	
ParlaMint-BE-en_2015-11-13-54-commissie-ic266x	ParlaMint-BE_2015-11-13-54-commissie-ic266x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2015	2015-11-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	DucarmeDenis	Ducarme, Denis	M	1973	
ParlaMint-BE-en_2015-11-13-54-commissie-ic266x	ParlaMint-BE_2015-11-13-54-commissie-ic266x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2015	2015-11-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	DéFi	Démocrate Fédéraliste Indépendant	Opposition	Centre to centre-right	MaingainOlivier	Maingain, Olivier	M	1958	
