Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2015-05-05-54-commissie-ic154x	ParlaMint-BE_2015-05-05-54-commissie-ic154x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-05-2015	2015-05-05	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	GilkinetGeorges	Gilkinet, Georges	M	1971	
ParlaMint-BE-en_2015-05-05-54-commissie-ic154x	ParlaMint-BE_2015-05-05-54-commissie-ic154x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-05-2015	2015-05-05	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VanRompuyEric	Van Rompuy, Eric	M	1949	
ParlaMint-BE-en_2015-05-05-54-commissie-ic154x	ParlaMint-BE_2015-05-05-54-commissie-ic154x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-05-2015	2015-05-05	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	GilkinetGeorges	Gilkinet, Georges	M	1971	
ParlaMint-BE-en_2015-05-05-54-commissie-ic154x	ParlaMint-BE_2015-05-05-54-commissie-ic154x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-05-2015	2015-05-05	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	DispaBenoît	Dispa, Benoît	M	1963	
ParlaMint-BE-en_2015-05-05-54-commissie-ic154x	ParlaMint-BE_2015-05-05-54-commissie-ic154x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-05-2015	2015-05-05	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	SleursElke	Sleurs, Elke	F	1968	
ParlaMint-BE-en_2015-05-05-54-commissie-ic154x	ParlaMint-BE_2015-05-05-54-commissie-ic154x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-05-2015	2015-05-05	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	DispaBenoît	Dispa, Benoît	M	1963	
ParlaMint-BE-en_2015-05-05-54-commissie-ic154x	ParlaMint-BE_2015-05-05-54-commissie-ic154x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-05-2015	2015-05-05	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	GilkinetGeorges	Gilkinet, Georges	M	1971	
ParlaMint-BE-en_2015-05-05-54-commissie-ic154x	ParlaMint-BE_2015-05-05-54-commissie-ic154x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-05-2015	2015-05-05	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	SleursElke	Sleurs, Elke	F	1968	
ParlaMint-BE-en_2015-05-05-54-commissie-ic154x	ParlaMint-BE_2015-05-05-54-commissie-ic154x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-05-2015	2015-05-05	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	GilkinetGeorges	Gilkinet, Georges	M	1971	
ParlaMint-BE-en_2015-05-05-54-commissie-ic154x	ParlaMint-BE_2015-05-05-54-commissie-ic154x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-05-2015	2015-05-05	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	GilkinetGeorges	Gilkinet, Georges	M	1971	
ParlaMint-BE-en_2015-05-05-54-commissie-ic154x	ParlaMint-BE_2015-05-05-54-commissie-ic154x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-05-2015	2015-05-05	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VanRompuyEric	Van Rompuy, Eric	M	1949	
