Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2015-06-03-54-plenair-ip049x	ParlaMint-BE_2015-06-03-54-plenair-ip049x.u1	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 03-06-2015	2015-06-03	Lower house	Zittingperiode 54	-	Plenaire zitting 049 van 03-06-2015	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	BrackeSiegfried	Bracke, Siegfried	M	1953	
ParlaMint-BE-en_2015-06-03-54-plenair-ip049x	ParlaMint-BE_2015-06-03-54-plenair-ip049x.u2	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 03-06-2015	2015-06-03	Lower house	Zittingperiode 54	-	Plenaire zitting 049 van 03-06-2015	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	NolletJeanMarc	Nollet, Jean-Marc	M	1970	
ParlaMint-BE-en_2015-06-03-54-plenair-ip049x	ParlaMint-BE_2015-06-03-54-plenair-ip049x.u3	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 03-06-2015	2015-06-03	Lower house	Zittingperiode 54	-	Plenaire zitting 049 van 03-06-2015	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	OnkelinxLaurette	Onkelinx, Laurette	F	1958	
ParlaMint-BE-en_2015-06-03-54-plenair-ip049x	ParlaMint-BE_2015-06-03-54-plenair-ip049x.u4	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 03-06-2015	2015-06-03	Lower house	Zittingperiode 54	-	Plenaire zitting 049 van 03-06-2015	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	VandeLanotteJohan	Vande Lanotte, Johan	M	1955	
ParlaMint-BE-en_2015-06-03-54-plenair-ip049x	ParlaMint-BE_2015-06-03-54-plenair-ip049x.u5	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 03-06-2015	2015-06-03	Lower house	Zittingperiode 54	-	Plenaire zitting 049 van 03-06-2015	-	-	Reference	English	Guest	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	deLamotteMichel	de Lamotte, Michel	M	1955	
ParlaMint-BE-en_2015-06-03-54-plenair-ip049x	ParlaMint-BE_2015-06-03-54-plenair-ip049x.u6	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 03-06-2015	2015-06-03	Lower house	Zittingperiode 54	-	Plenaire zitting 049 van 03-06-2015	-	-	Reference	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	HedebouwRaoul	Hedebouw, Raoul	M	1977	
ParlaMint-BE-en_2015-06-03-54-plenair-ip049x	ParlaMint-BE_2015-06-03-54-plenair-ip049x.u7	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 03-06-2015	2015-06-03	Lower house	Zittingperiode 54	-	Plenaire zitting 049 van 03-06-2015	-	-	Reference	English	Regular	MP	notMinister	FDF	Fédéralistes Démocrates Francophones	Opposition	Centre to centre-right	MaingainOlivier	Maingain, Olivier	M	1958	
ParlaMint-BE-en_2015-06-03-54-plenair-ip049x	ParlaMint-BE_2015-06-03-54-plenair-ip049x.u8	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 03-06-2015	2015-06-03	Lower house	Zittingperiode 54	-	Plenaire zitting 049 van 03-06-2015	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	BrackeSiegfried	Bracke, Siegfried	M	1953	
ParlaMint-BE-en_2015-06-03-54-plenair-ip049x	ParlaMint-BE_2015-06-03-54-plenair-ip049x.u9	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 03-06-2015	2015-06-03	Lower house	Zittingperiode 54	-	Plenaire zitting 049 van 03-06-2015	-	-	Reference	English	Regular	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	CalvoKristof	Calvo, Kristof	M	1987	
ParlaMint-BE-en_2015-06-03-54-plenair-ip049x	ParlaMint-BE_2015-06-03-54-plenair-ip049x.u10	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 03-06-2015	2015-06-03	Lower house	Zittingperiode 54	-	Plenaire zitting 049 van 03-06-2015	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	BrackeSiegfried	Bracke, Siegfried	M	1953	
ParlaMint-BE-en_2015-06-03-54-plenair-ip049x	ParlaMint-BE_2015-06-03-54-plenair-ip049x.u11	Belgian parliamentary corpus ParlaMint-BE-en, plenary session of 03-06-2015	2015-06-03	Lower house	Zittingperiode 54	-	Plenaire zitting 049 van 03-06-2015	-	-	Reference	English	Regular	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	CalvoKristof	Calvo, Kristof	M	1987	
