Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2016-09-07-ps2013-049-02-007-161	ParlaMint-CZ_2016-09-07-ps2013-049-02-007-161.u1	Parliament of the Czech Republic, Chamber of Deputies, 2016-09-07	2016-09-07	Lower house	ps2013	-	ps2013/049	ps2013/049/02	ps2013/049/161	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2016-09-07-ps2013-049-02-007-161	ParlaMint-CZ_2016-09-07-ps2013-049-02-007-161.u2	Parliament of the Czech Republic, Chamber of Deputies, 2016-09-07	2016-09-07	Lower house	ps2013	-	ps2013/049	ps2013/049/02	ps2013/049/161	Reference	English	Regular	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	StanislavHuml.1955	Huml, Stanislav	M	1955	
ParlaMint-CZ-en_2016-09-07-ps2013-049-02-007-161	ParlaMint-CZ_2016-09-07-ps2013-049-02-007-161.u3	Parliament of the Czech Republic, Chamber of Deputies, 2016-09-07	2016-09-07	Lower house	ps2013	-	ps2013/049	ps2013/049/02	ps2013/049/161	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2016-09-07-ps2013-049-02-007-161	ParlaMint-CZ_2016-09-07-ps2013-049-02-007-161.u4	Parliament of the Czech Republic, Chamber of Deputies, 2016-09-07	2016-09-07	Lower house	ps2013	-	ps2013/049	ps2013/049/02	ps2013/049/161	Reference	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	KarelRais.1949	Rais, Karel	M	1949	
ParlaMint-CZ-en_2016-09-07-ps2013-049-02-007-161	ParlaMint-CZ_2016-09-07-ps2013-049-02-007-161.u5	Parliament of the Czech Republic, Chamber of Deputies, 2016-09-07	2016-09-07	Lower house	ps2013	-	ps2013/049	ps2013/049/02	ps2013/049/161	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2016-09-07-ps2013-049-02-007-161	ParlaMint-CZ_2016-09-07-ps2013-049-02-007-161.u6	Parliament of the Czech Republic, Chamber of Deputies, 2016-09-07	2016-09-07	Lower house	ps2013	-	ps2013/049	ps2013/049/02	ps2013/049/161	Reference	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	MartinSedlar.1972	Sedlář, Martin	M	1972	
ParlaMint-CZ-en_2016-09-07-ps2013-049-02-007-161	ParlaMint-CZ_2016-09-07-ps2013-049-02-007-161.u7	Parliament of the Czech Republic, Chamber of Deputies, 2016-09-07	2016-09-07	Lower house	ps2013	-	ps2013/049	ps2013/049/02	ps2013/049/161	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2016-09-07-ps2013-049-02-007-161	ParlaMint-CZ_2016-09-07-ps2013-049-02-007-161.u8	Parliament of the Czech Republic, Chamber of Deputies, 2016-09-07	2016-09-07	Lower house	ps2013	-	ps2013/049	ps2013/049/02	ps2013/049/161	Reference	English	Regular	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	Opposition	Left to far-left	HanaAulickaJirovcova.1981	Aulická Jírovcová, Hana	F	1981	
ParlaMint-CZ-en_2016-09-07-ps2013-049-02-007-161	ParlaMint-CZ_2016-09-07-ps2013-049-02-007-161.u9	Parliament of the Czech Republic, Chamber of Deputies, 2016-09-07	2016-09-07	Lower house	ps2013	-	ps2013/049	ps2013/049/02	ps2013/049/161	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2016-09-07-ps2013-049-02-007-161	ParlaMint-CZ_2016-09-07-ps2013-049-02-007-161.u10	Parliament of the Czech Republic, Chamber of Deputies, 2016-09-07	2016-09-07	Lower house	ps2013	-	ps2013/049	ps2013/049/02	ps2013/049/161	Reference	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	JanaCernochova.1973	Černochová, Jana	F	1973	
ParlaMint-CZ-en_2016-09-07-ps2013-049-02-007-161	ParlaMint-CZ_2016-09-07-ps2013-049-02-007-161.u11	Parliament of the Czech Republic, Chamber of Deputies, 2016-09-07	2016-09-07	Lower house	ps2013	-	ps2013/049	ps2013/049/02	ps2013/049/161	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
