Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2016-09-13-ps2013-049-05-000-000	ParlaMint-CZ_2016-09-13-ps2013-049-05-000-000.u1	Parliament of the Czech Republic, Chamber of Deputies, 2016-09-13	2016-09-13	Lower house	ps2013	-	ps2013/049	ps2013/049/05	ps2013/049/000	Reference	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	Opposition	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2016-09-13-ps2013-049-05-000-000	ParlaMint-CZ_2016-09-13-ps2013-049-05-000-000.u2	Parliament of the Czech Republic, Chamber of Deputies, 2016-09-13	2016-09-13	Lower house	ps2013	-	ps2013/049	ps2013/049/05	ps2013/049/000	Reference	English	Regular	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	Opposition	Left to far-left	PavelKovacik.1955	Kováčik, Pavel	M	1955	
ParlaMint-CZ-en_2016-09-13-ps2013-049-05-000-000	ParlaMint-CZ_2016-09-13-ps2013-049-05-000-000.u3	Parliament of the Czech Republic, Chamber of Deputies, 2016-09-13	2016-09-13	Lower house	ps2013	-	ps2013/049	ps2013/049/05	ps2013/049/000	Reference	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	Opposition	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2016-09-13-ps2013-049-05-000-000	ParlaMint-CZ_2016-09-13-ps2013-049-05-000-000.u4	Parliament of the Czech Republic, Chamber of Deputies, 2016-09-13	2016-09-13	Lower house	ps2013	-	ps2013/049	ps2013/049/05	ps2013/049/000	Reference	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	MartinKolovratnik.1975	Kolovratník, Martin	M	1975	
ParlaMint-CZ-en_2016-09-13-ps2013-049-05-000-000	ParlaMint-CZ_2016-09-13-ps2013-049-05-000-000.u5	Parliament of the Czech Republic, Chamber of Deputies, 2016-09-13	2016-09-13	Lower house	ps2013	-	ps2013/049	ps2013/049/05	ps2013/049/000	Reference	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	Opposition	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2016-09-13-ps2013-049-05-000-000	ParlaMint-CZ_2016-09-13-ps2013-049-05-000-000.u6	Parliament of the Czech Republic, Chamber of Deputies, 2016-09-13	2016-09-13	Lower house	ps2013	-	ps2013/049	ps2013/049/05	ps2013/049/000	Reference	English	Regular	MP	notMinister	Úsvit	Political group of Usvit - Narodni Koalice	Opposition	Far-right	MartinLank.1976	Lank, Martin	M	1976	
ParlaMint-CZ-en_2016-09-13-ps2013-049-05-000-000	ParlaMint-CZ_2016-09-13-ps2013-049-05-000-000.u7	Parliament of the Czech Republic, Chamber of Deputies, 2016-09-13	2016-09-13	Lower house	ps2013	-	ps2013/049	ps2013/049/05	ps2013/049/000	Reference	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	Opposition	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2016-09-13-ps2013-049-05-000-000	ParlaMint-CZ_2016-09-13-ps2013-049-05-000-000.u8	Parliament of the Czech Republic, Chamber of Deputies, 2016-09-13	2016-09-13	Lower house	ps2013	-	ps2013/049	ps2013/049/05	ps2013/049/000	Reference	English	Regular	MP	notMinister	Usvit	Rise of Direct Democracy of Tomio Okamura	-	Far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2016-09-13-ps2013-049-05-000-000	ParlaMint-CZ_2016-09-13-ps2013-049-05-000-000.u9	Parliament of the Czech Republic, Chamber of Deputies, 2016-09-13	2016-09-13	Lower house	ps2013	-	ps2013/049	ps2013/049/05	ps2013/049/000	Reference	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	Opposition	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2016-09-13-ps2013-049-05-000-000	ParlaMint-CZ_2016-09-13-ps2013-049-05-000-000.u10	Parliament of the Czech Republic, Chamber of Deputies, 2016-09-13	2016-09-13	Lower house	ps2013	-	ps2013/049	ps2013/049/05	ps2013/049/000	Reference	English	Regular	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	RomanSklenak.1970	Sklenák, Roman	M	1970	
ParlaMint-CZ-en_2016-09-13-ps2013-049-05-000-000	ParlaMint-CZ_2016-09-13-ps2013-049-05-000-000.u11	Parliament of the Czech Republic, Chamber of Deputies, 2016-09-13	2016-09-13	Lower house	ps2013	-	ps2013/049	ps2013/049/05	ps2013/049/000	Reference	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	Opposition	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2016-09-13-ps2013-049-05-000-000	ParlaMint-CZ_2016-09-13-ps2013-049-05-000-000.u12	Parliament of the Czech Republic, Chamber of Deputies, 2016-09-13	2016-09-13	Lower house	ps2013	-	ps2013/049	ps2013/049/05	ps2013/049/000	Reference	English	Regular	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	AntoninSeda.1960	Seďa, Antonín	M	1960	
ParlaMint-CZ-en_2016-09-13-ps2013-049-05-000-000	ParlaMint-CZ_2016-09-13-ps2013-049-05-000-000.u13	Parliament of the Czech Republic, Chamber of Deputies, 2016-09-13	2016-09-13	Lower house	ps2013	-	ps2013/049	ps2013/049/05	ps2013/049/000	Reference	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	Opposition	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2016-09-13-ps2013-049-05-000-000	ParlaMint-CZ_2016-09-13-ps2013-049-05-000-000.u14	Parliament of the Czech Republic, Chamber of Deputies, 2016-09-13	2016-09-13	Lower house	ps2013	-	ps2013/049	ps2013/049/05	ps2013/049/000	Reference	English	Regular	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JosefNovotny.1952	Novotný, Josef	M	1952	
