Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2016-04-14-ps2013-044-03-003-148	ParlaMint-CZ_2016-04-14-ps2013-044-03-003-148.u1	Parliament of the Czech Republic, Chamber of Deputies, 2016-04-14	2016-04-14	Lower house	ps2013	-	ps2013/044	ps2013/044/03	ps2013/044/148	Reference	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2016-04-14-ps2013-044-03-003-148	ParlaMint-CZ_2016-04-14-ps2013-044-03-003-148.u2	Parliament of the Czech Republic, Chamber of Deputies, 2016-04-14	2016-04-14	Lower house	ps2013	-	ps2013/044	ps2013/044/03	ps2013/044/148	Reference	English	Regular	notMP	Minister	-	-	-	-	MichaelaMarksova.1969	Marksová, Michaela	F	1969	
ParlaMint-CZ-en_2016-04-14-ps2013-044-03-003-148	ParlaMint-CZ_2016-04-14-ps2013-044-03-003-148.u3	Parliament of the Czech Republic, Chamber of Deputies, 2016-04-14	2016-04-14	Lower house	ps2013	-	ps2013/044	ps2013/044/03	ps2013/044/148	Reference	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2016-04-14-ps2013-044-03-003-148	ParlaMint-CZ_2016-04-14-ps2013-044-03-003-148.u4	Parliament of the Czech Republic, Chamber of Deputies, 2016-04-14	2016-04-14	Lower house	ps2013	-	ps2013/044	ps2013/044/03	ps2013/044/148	Reference	English	Regular	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	PavelHolik.1957	Holík, Pavel	M	1957	
ParlaMint-CZ-en_2016-04-14-ps2013-044-03-003-148	ParlaMint-CZ_2016-04-14-ps2013-044-03-003-148.u5	Parliament of the Czech Republic, Chamber of Deputies, 2016-04-14	2016-04-14	Lower house	ps2013	-	ps2013/044	ps2013/044/03	ps2013/044/148	Reference	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2016-04-14-ps2013-044-03-003-148	ParlaMint-CZ_2016-04-14-ps2013-044-03-003-148.u6	Parliament of the Czech Republic, Chamber of Deputies, 2016-04-14	2016-04-14	Lower house	ps2013	-	ps2013/044	ps2013/044/03	ps2013/044/148	Reference	English	Regular	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	PavelHolik.1957	Holík, Pavel	M	1957	
ParlaMint-CZ-en_2016-04-14-ps2013-044-03-003-148	ParlaMint-CZ_2016-04-14-ps2013-044-03-003-148.u7	Parliament of the Czech Republic, Chamber of Deputies, 2016-04-14	2016-04-14	Lower house	ps2013	-	ps2013/044	ps2013/044/03	ps2013/044/148	Reference	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
