Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2016-12-06-ps2013-053-05-007-035	ParlaMint-CZ_2016-12-06-ps2013-053-05-007-035.u1	Parliament of the Czech Republic, Chamber of Deputies, 2016-12-06	2016-12-06	Lower house	ps2013	-	ps2013/053	ps2013/053/05	ps2013/053/035	Reference	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2016-12-06-ps2013-053-05-007-035	ParlaMint-CZ_2016-12-06-ps2013-053-05-007-035.u2	Parliament of the Czech Republic, Chamber of Deputies, 2016-12-06	2016-12-06	Lower house	ps2013	-	ps2013/053	ps2013/053/05	ps2013/053/035	Reference	English	Regular	notMP	Minister	-	-	-	-	MichaelaMarksova.1969	Marksová, Michaela	F	1969	
ParlaMint-CZ-en_2016-12-06-ps2013-053-05-007-035	ParlaMint-CZ_2016-12-06-ps2013-053-05-007-035.u3	Parliament of the Czech Republic, Chamber of Deputies, 2016-12-06	2016-12-06	Lower house	ps2013	-	ps2013/053	ps2013/053/05	ps2013/053/035	Reference	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2016-12-06-ps2013-053-05-007-035	ParlaMint-CZ_2016-12-06-ps2013-053-05-007-035.u4	Parliament of the Czech Republic, Chamber of Deputies, 2016-12-06	2016-12-06	Lower house	ps2013	-	ps2013/053	ps2013/053/05	ps2013/053/035	Reference	English	Regular	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JaroslavZavadil.1944	Zavadil, Jaroslav	M	1944	
ParlaMint-CZ-en_2016-12-06-ps2013-053-05-007-035	ParlaMint-CZ_2016-12-06-ps2013-053-05-007-035.u5	Parliament of the Czech Republic, Chamber of Deputies, 2016-12-06	2016-12-06	Lower house	ps2013	-	ps2013/053	ps2013/053/05	ps2013/053/035	Reference	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2016-12-06-ps2013-053-05-007-035	ParlaMint-CZ_2016-12-06-ps2013-053-05-007-035.u6	Parliament of the Czech Republic, Chamber of Deputies, 2016-12-06	2016-12-06	Lower house	ps2013	-	ps2013/053	ps2013/053/05	ps2013/053/035	Reference	English	Regular	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	Opposition	Left to far-left	MiroslavOpalka.1952	Opálka, Miroslav	M	1952	
ParlaMint-CZ-en_2016-12-06-ps2013-053-05-007-035	ParlaMint-CZ_2016-12-06-ps2013-053-05-007-035.u7	Parliament of the Czech Republic, Chamber of Deputies, 2016-12-06	2016-12-06	Lower house	ps2013	-	ps2013/053	ps2013/053/05	ps2013/053/035	Reference	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2016-12-06-ps2013-053-05-007-035	ParlaMint-CZ_2016-12-06-ps2013-053-05-007-035.u8	Parliament of the Czech Republic, Chamber of Deputies, 2016-12-06	2016-12-06	Lower house	ps2013	-	ps2013/053	ps2013/053/05	ps2013/053/035	Reference	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	VladislavVilimec.1963	Vilímec, Vladislav	M	1963	
ParlaMint-CZ-en_2016-12-06-ps2013-053-05-007-035	ParlaMint-CZ_2016-12-06-ps2013-053-05-007-035.u9	Parliament of the Czech Republic, Chamber of Deputies, 2016-12-06	2016-12-06	Lower house	ps2013	-	ps2013/053	ps2013/053/05	ps2013/053/035	Reference	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2016-12-06-ps2013-053-05-007-035	ParlaMint-CZ_2016-12-06-ps2013-053-05-007-035.u10	Parliament of the Czech Republic, Chamber of Deputies, 2016-12-06	2016-12-06	Lower house	ps2013	-	ps2013/053	ps2013/053/05	ps2013/053/035	Reference	English	Regular	MP	notMinister	TOP09-S	Political group TOP 09 a Starostové	Opposition	Centre-right	JitkaChalankova.1957	Chalánková, Jitka	F	1957	
ParlaMint-CZ-en_2016-12-06-ps2013-053-05-007-035	ParlaMint-CZ_2016-12-06-ps2013-053-05-007-035.u11	Parliament of the Czech Republic, Chamber of Deputies, 2016-12-06	2016-12-06	Lower house	ps2013	-	ps2013/053	ps2013/053/05	ps2013/053/035	Reference	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2016-12-06-ps2013-053-05-007-035	ParlaMint-CZ_2016-12-06-ps2013-053-05-007-035.u12	Parliament of the Czech Republic, Chamber of Deputies, 2016-12-06	2016-12-06	Lower house	ps2013	-	ps2013/053	ps2013/053/05	ps2013/053/035	Reference	English	Regular	MP	notMinister	TOP09-S	Political group TOP 09 a Starostové	Opposition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2016-12-06-ps2013-053-05-007-035	ParlaMint-CZ_2016-12-06-ps2013-053-05-007-035.u13	Parliament of the Czech Republic, Chamber of Deputies, 2016-12-06	2016-12-06	Lower house	ps2013	-	ps2013/053	ps2013/053/05	ps2013/053/035	Reference	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2016-12-06-ps2013-053-05-007-035	ParlaMint-CZ_2016-12-06-ps2013-053-05-007-035.u14	Parliament of the Czech Republic, Chamber of Deputies, 2016-12-06	2016-12-06	Lower house	ps2013	-	ps2013/053	ps2013/053/05	ps2013/053/035	Reference	English	Regular	MP	notMinister	TOP09-S	Political group TOP 09 a Starostové	Opposition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2016-12-06-ps2013-053-05-007-035	ParlaMint-CZ_2016-12-06-ps2013-053-05-007-035.u15	Parliament of the Czech Republic, Chamber of Deputies, 2016-12-06	2016-12-06	Lower house	ps2013	-	ps2013/053	ps2013/053/05	ps2013/053/035	Reference	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
