Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2016-01-27-ps2013-039-05-012-037	ParlaMint-CZ_2016-01-27-ps2013-039-05-012-037.u1	Parliament of the Czech Republic, Chamber of Deputies, 2016-01-27	2016-01-27	Lower house	ps2013	-	ps2013/039	ps2013/039/05	ps2013/039/037	Reference	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	Opposition	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2016-01-27-ps2013-039-05-012-037	ParlaMint-CZ_2016-01-27-ps2013-039-05-012-037.u2	Parliament of the Czech Republic, Chamber of Deputies, 2016-01-27	2016-01-27	Lower house	ps2013	-	ps2013/039	ps2013/039/05	ps2013/039/037	Reference	English	Regular	MP	notMinister	TOP09-S	Political group TOP 09 a Starostové	Opposition	Centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
ParlaMint-CZ-en_2016-01-27-ps2013-039-05-012-037	ParlaMint-CZ_2016-01-27-ps2013-039-05-012-037.u3	Parliament of the Czech Republic, Chamber of Deputies, 2016-01-27	2016-01-27	Lower house	ps2013	-	ps2013/039	ps2013/039/05	ps2013/039/037	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2016-01-27-ps2013-039-05-012-037	ParlaMint-CZ_2016-01-27-ps2013-039-05-012-037.u4	Parliament of the Czech Republic, Chamber of Deputies, 2016-01-27	2016-01-27	Lower house	ps2013	-	ps2013/039	ps2013/039/05	ps2013/039/037	Reference	English	Regular	MP	notMinister	TOP09-S	Political group TOP 09 a Starostové	Opposition	Centre-right	MartinPlisek.1974	Plíšek, Martin	M	1974	
ParlaMint-CZ-en_2016-01-27-ps2013-039-05-012-037	ParlaMint-CZ_2016-01-27-ps2013-039-05-012-037.u5	Parliament of the Czech Republic, Chamber of Deputies, 2016-01-27	2016-01-27	Lower house	ps2013	-	ps2013/039	ps2013/039/05	ps2013/039/037	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2016-01-27-ps2013-039-05-012-037	ParlaMint-CZ_2016-01-27-ps2013-039-05-012-037.u6	Parliament of the Czech Republic, Chamber of Deputies, 2016-01-27	2016-01-27	Lower house	ps2013	-	ps2013/039	ps2013/039/05	ps2013/039/037	Reference	English	Regular	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	Opposition	Left to far-left	JiriDolejs.1961	Dolejš, Jiří	M	1961	
ParlaMint-CZ-en_2016-01-27-ps2013-039-05-012-037	ParlaMint-CZ_2016-01-27-ps2013-039-05-012-037.u7	Parliament of the Czech Republic, Chamber of Deputies, 2016-01-27	2016-01-27	Lower house	ps2013	-	ps2013/039	ps2013/039/05	ps2013/039/037	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2016-01-27-ps2013-039-05-012-037	ParlaMint-CZ_2016-01-27-ps2013-039-05-012-037.u8	Parliament of the Czech Republic, Chamber of Deputies, 2016-01-27	2016-01-27	Lower house	ps2013	-	ps2013/039	ps2013/039/05	ps2013/039/037	Reference	English	Regular	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	VaclavVotava.1956	Votava, Václav	M	1956	
ParlaMint-CZ-en_2016-01-27-ps2013-039-05-012-037	ParlaMint-CZ_2016-01-27-ps2013-039-05-012-037.u9	Parliament of the Czech Republic, Chamber of Deputies, 2016-01-27	2016-01-27	Lower house	ps2013	-	ps2013/039	ps2013/039/05	ps2013/039/037	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2016-01-27-ps2013-039-05-012-037	ParlaMint-CZ_2016-01-27-ps2013-039-05-012-037.u10	Parliament of the Czech Republic, Chamber of Deputies, 2016-01-27	2016-01-27	Lower house	ps2013	-	ps2013/039	ps2013/039/05	ps2013/039/037	Reference	English	Regular	MP	notMinister	TOP09-S	Political group TOP 09 a Starostové	Opposition	Centre-right	MartinPlisek.1974	Plíšek, Martin	M	1974	
ParlaMint-CZ-en_2016-01-27-ps2013-039-05-012-037	ParlaMint-CZ_2016-01-27-ps2013-039-05-012-037.u11	Parliament of the Czech Republic, Chamber of Deputies, 2016-01-27	2016-01-27	Lower house	ps2013	-	ps2013/039	ps2013/039/05	ps2013/039/037	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
