Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-UA-en_2014-12-02-m0	ParlaMint-UA_2014-12-02-m0.u1	Ukrainian parliamentary corpus ParlaMint-UA-en, term 8, session 1, sitting day 2014-12-02, n0	2014-12-02	Unicameralism	8	1	-	2014-12-02	-	Reference	English	Chairperson	MP	notMinister	BPP	Petro Poroshenko Bloc	-	Centre-right	ВолодимирБорисовичГройсман.1978	Hrojsman, Volodymyr Borysovyč	M	1978	
ParlaMint-UA-en_2014-12-02-m0	ParlaMint-UA_2014-12-02-m0.u2	Ukrainian parliamentary corpus ParlaMint-UA-en, term 8, session 1, sitting day 2014-12-02, n0	2014-12-02	Unicameralism	8	1	-	2014-12-02	-	Reference	English	Regular	MP	notMinister	frBPP	Petro Poroshenko Bloc Faction	Coalition	Centre-right	МаріяВасилівнаМатіос.1959	Matios, Marija Vasylivna	F	1959	
ParlaMint-UA-en_2014-12-02-m0	ParlaMint-UA_2014-12-02-m0.u3	Ukrainian parliamentary corpus ParlaMint-UA-en, term 8, session 1, sitting day 2014-12-02, n0	2014-12-02	Unicameralism	8	1	-	2014-12-02	-	Reference	English	Chairperson	MP	notMinister	BPP	Petro Poroshenko Bloc	-	Centre-right	ВолодимирБорисовичГройсман.1978	Hrojsman, Volodymyr Borysovyč	M	1978	
ParlaMint-UA-en_2014-12-02-m0	ParlaMint-UA_2014-12-02-m0.u4	Ukrainian parliamentary corpus ParlaMint-UA-en, term 8, session 1, sitting day 2014-12-02, n0	2014-12-02	Unicameralism	8	1	-	2014-12-02	-	Reference	English	Regular	MP	notMinister	-	-	-	-	СергійЯрославовичРудик.1970	Rudyk, Serhij Jaroslavovyč	M	1970	
ParlaMint-UA-en_2014-12-02-m0	ParlaMint-UA_2014-12-02-m0.u5	Ukrainian parliamentary corpus ParlaMint-UA-en, term 8, session 1, sitting day 2014-12-02, n0	2014-12-02	Unicameralism	8	1	-	2014-12-02	-	Reference	English	Chairperson	MP	notMinister	BPP	Petro Poroshenko Bloc	-	Centre-right	ВолодимирБорисовичГройсман.1978	Hrojsman, Volodymyr Borysovyč	M	1978	
ParlaMint-UA-en_2014-12-02-m0	ParlaMint-UA_2014-12-02-m0.u6	Ukrainian parliamentary corpus ParlaMint-UA-en, term 8, session 1, sitting day 2014-12-02, n0	2014-12-02	Unicameralism	8	1	-	2014-12-02	-	Reference	English	Chairperson	MP	notMinister	BPP	Petro Poroshenko Bloc	-	Centre-right	ВолодимирБорисовичГройсман.1978	Hrojsman, Volodymyr Borysovyč	M	1978	
