Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-UA-en_2014-11-27-m0	ParlaMint-UA_2014-11-27-m0.u1	Ukrainian parliamentary corpus ParlaMint-UA-en, term 8, session 1, sitting day 2014-11-27, n0	2014-11-27	Unicameralism	8	1	-	2014-11-27	-	Reference	English	Chairperson	MP	notMinister	frNF	People's Front Faction	Coalition	Centre-right to right	ОлександрВалентиновичТурчинов.1964	Turčynov, Oleksandr Valentynovyč	M	1964	
ParlaMint-UA-en_2014-11-27-m0	ParlaMint-UA_2014-11-27-m0.u2	Ukrainian parliamentary corpus ParlaMint-UA-en, term 8, session 1, sitting day 2014-11-27, n0	2014-11-27	Unicameralism	8	1	-	2014-11-27	-	Reference	English	Chairperson	MP	notMinister	frNF	People's Front Faction	Coalition	Centre-right to right	ОлександрВалентиновичТурчинов.1964	Turčynov, Oleksandr Valentynovyč	M	1964	
ParlaMint-UA-en_2014-11-27-m0	ParlaMint-UA_2014-11-27-m0.u3	Ukrainian parliamentary corpus ParlaMint-UA-en, term 8, session 1, sitting day 2014-11-27, n0	2014-11-27	Unicameralism	8	1	-	2014-11-27	-	Reference	English	Chairperson	MP	notMinister	frNF	People's Front Faction	Coalition	Centre-right to right	ОлександрВалентиновичТурчинов.1964	Turčynov, Oleksandr Valentynovyč	M	1964	
