Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2007-11-30-0	ParlaMint-BA_2007-11-30-0.u1	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 01v	2007-11-30	Unicameralism	5. mandat	-	Sjednica 01v	2007-11-30	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	TihićSulejman	Tihić, Sulejman	M	1951	
ParlaMint-BA-en_2007-11-30-0	ParlaMint-BA_2007-11-30-0.u5	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 01v	2007-11-30	Unicameralism	5. mandat	-	Sjednica 01v	2007-11-30	-	Reference	English	Regular	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	-	Centre-right	JovićIvoMiro	Jović, Ivo Miro	M	1950	
ParlaMint-BA-en_2007-11-30-0	ParlaMint-BA_2007-11-30-0.u6	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 01v	2007-11-30	Unicameralism	5. mandat	-	Sjednica 01v	2007-11-30	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	TihićSulejman	Tihić, Sulejman	M	1951	
ParlaMint-BA-en_2007-11-30-0	ParlaMint-BA_2007-11-30-0.u7	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 01v	2007-11-30	Unicameralism	5. mandat	-	Sjednica 01v	2007-11-30	-	Reference	English	Regular	MP	notMinister	PDP	Partija demokratskog progresa	Opposition	Centre to centre-right	IvanićMladen	Ivanić, Mladen	M	1958	
ParlaMint-BA-en_2007-11-30-0	ParlaMint-BA_2007-11-30-0.u8	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 01v	2007-11-30	Unicameralism	5. mandat	-	Sjednica 01v	2007-11-30	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	TihićSulejman	Tihić, Sulejman	M	1951	
