Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-RS-en_2013-08-29-0	ParlaMint-RS_2013-08-29-0.u22675	Term 9, Meeting v10	2013-08-29	Unicameralism	9. mandat	-	Zasedanje v10	2013-08-29	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-RS-en_2013-08-29-0	ParlaMint-RS_2013-08-29-0.u22676	Term 9, Meeting v10	2013-08-29	Unicameralism	9. mandat	-	Zasedanje v10	2013-08-29	-	Reference	English	Chairperson	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	StefanovićNebojša	Stefanović, Nebojša	M	1976	
ParlaMint-RS-en_2013-08-29-0	ParlaMint-RS_2013-08-29-0.u22677	Term 9, Meeting v10	2013-08-29	Unicameralism	9. mandat	-	Zasedanje v10	2013-08-29	-	Reference	English	Regular	MP	notMinister	DS	Demokratska stranka	Coalition	Centre-left	VeselinovićJanko	Veselinović, Janko	M	1965	
ParlaMint-RS-en_2013-08-29-0	ParlaMint-RS_2013-08-29-0.u22678	Term 9, Meeting v10	2013-08-29	Unicameralism	9. mandat	-	Zasedanje v10	2013-08-29	-	Reference	English	Chairperson	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	StefanovićNebojša	Stefanović, Nebojša	M	1976	
ParlaMint-RS-en_2013-08-29-0	ParlaMint-RS_2013-08-29-0.u22679	Term 9, Meeting v10	2013-08-29	Unicameralism	9. mandat	-	Zasedanje v10	2013-08-29	-	Reference	English	Regular	MP	notMinister	LSV	Liga socijaldemokrata Vojvodine	Coalition	Centre-left	PapugaOlena	Papuga, Olena	F	1964	
ParlaMint-RS-en_2013-08-29-0	ParlaMint-RS_2013-08-29-0.u22680	Term 9, Meeting v10	2013-08-29	Unicameralism	9. mandat	-	Zasedanje v10	2013-08-29	-	Reference	English	Chairperson	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	StefanovićNebojša	Stefanović, Nebojša	M	1976	
ParlaMint-RS-en_2013-08-29-0	ParlaMint-RS_2013-08-29-0.u22681	Term 9, Meeting v10	2013-08-29	Unicameralism	9. mandat	-	Zasedanje v10	2013-08-29	-	Reference	English	Regular	MP	notMinister	LDP	Liberalno-demokratska partija	Coalition	Centre	GerovRadmila	Gerov, Radmila	F	1967	
ParlaMint-RS-en_2013-08-29-0	ParlaMint-RS_2013-08-29-0.u22682	Term 9, Meeting v10	2013-08-29	Unicameralism	9. mandat	-	Zasedanje v10	2013-08-29	-	Reference	English	Chairperson	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	StefanovićNebojša	Stefanović, Nebojša	M	1976	
ParlaMint-RS-en_2013-08-29-0	ParlaMint-RS_2013-08-29-0.u22683	Term 9, Meeting v10	2013-08-29	Unicameralism	9. mandat	-	Zasedanje v10	2013-08-29	-	Reference	English	Regular	MP	notMinister	DSS	Demokratska stranka Srbije	Opposition	Right	VojićMarkovićMilica	Vojić Marković, Milica	F	1959	
ParlaMint-RS-en_2013-08-29-0	ParlaMint-RS_2013-08-29-0.u22684	Term 9, Meeting v10	2013-08-29	Unicameralism	9. mandat	-	Zasedanje v10	2013-08-29	-	Reference	English	Chairperson	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	StefanovićNebojša	Stefanović, Nebojša	M	1976	
ParlaMint-RS-en_2013-08-29-0	ParlaMint-RS_2013-08-29-0.u22685	Term 9, Meeting v10	2013-08-29	Unicameralism	9. mandat	-	Zasedanje v10	2013-08-29	-	Reference	English	Regular	MP	notMinister	G17	G17 Plus	Coalition	Centre-right	TravarMiljevićJelena	Travar Miljević, Jelena	F	1979	
ParlaMint-RS-en_2013-08-29-0	ParlaMint-RS_2013-08-29-0.u22686	Term 9, Meeting v10	2013-08-29	Unicameralism	9. mandat	-	Zasedanje v10	2013-08-29	-	Reference	English	Chairperson	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	StefanovićNebojša	Stefanović, Nebojša	M	1976	
ParlaMint-RS-en_2013-08-29-0	ParlaMint-RS_2013-08-29-0.u22687	Term 9, Meeting v10	2013-08-29	Unicameralism	9. mandat	-	Zasedanje v10	2013-08-29	-	Reference	English	Chairperson	MP	notMinister	PUPS	Partija ujedinjenih penzionera Srbije	Coalition	Right	ArsenovićKonstantin	Arsenović, Konstantin	M	1940	
