Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SI-en_2014-12-23-SDZ7-Izredna-08	ParlaMint-SI_2014-12-23-SDZ7-Izredna-08.ana.u1	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 8, (23. 12. 2014)	2014-12-23	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SMC	Party of Miro Cerar	Coalition	Centre to centre-left	BrglezMilan	Brglez, Milan	M	1967	
ParlaMint-SI-en_2014-12-23-SDZ7-Izredna-08	ParlaMint-SI_2014-12-23-SDZ7-Izredna-08.ana.u2	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 8, (23. 12. 2014)	2014-12-23	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	KovšcaAlojz	Kovšca, Alojz	M	-	
ParlaMint-SI-en_2014-12-23-SDZ7-Izredna-08	ParlaMint-SI_2014-12-23-SDZ7-Izredna-08.ana.u3	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 8, (23. 12. 2014)	2014-12-23	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SMC	Party of Miro Cerar	Coalition	Centre to centre-left	BrglezMilan	Brglez, Milan	M	1967	
ParlaMint-SI-en_2014-12-23-SDZ7-Izredna-08	ParlaMint-SI_2014-12-23-SDZ7-Izredna-08.ana.u4	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 8, (23. 12. 2014)	2014-12-23	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	DeSUS	Democratic Party of Pensioners of Slovenia	Coalition	Centre to centre-left	PriklUroš	Prikl, Uroš	M	1972	
ParlaMint-SI-en_2014-12-23-SDZ7-Izredna-08	ParlaMint-SI_2014-12-23-SDZ7-Izredna-08.ana.u5	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 8, (23. 12. 2014)	2014-12-23	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SMC	Party of Miro Cerar	Coalition	Centre to centre-left	BrglezMilan	Brglez, Milan	M	1967	
ParlaMint-SI-en_2014-12-23-SDZ7-Izredna-08	ParlaMint-SI_2014-12-23-SDZ7-Izredna-08.ana.u6	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 8, (23. 12. 2014)	2014-12-23	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	KopačMrakAnja	Kopač Mrak, Anja	F	1974	
ParlaMint-SI-en_2014-12-23-SDZ7-Izredna-08	ParlaMint-SI_2014-12-23-SDZ7-Izredna-08.ana.u7	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 8, (23. 12. 2014)	2014-12-23	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SMC	Party of Miro Cerar	Coalition	Centre to centre-left	BrglezMilan	Brglez, Milan	M	1967	
ParlaMint-SI-en_2014-12-23-SDZ7-Izredna-08	ParlaMint-SI_2014-12-23-SDZ7-Izredna-08.ana.u8	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 8, (23. 12. 2014)	2014-12-23	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	SDS	Slovenian Democratic Party	Opposition	Right	PojbičMarijan	Pojbič, Marijan	M	1961	
ParlaMint-SI-en_2014-12-23-SDZ7-Izredna-08	ParlaMint-SI_2014-12-23-SDZ7-Izredna-08.ana.u9	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 8, (23. 12. 2014)	2014-12-23	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SMC	Party of Miro Cerar	Coalition	Centre to centre-left	BrglezMilan	Brglez, Milan	M	1967	
ParlaMint-SI-en_2014-12-23-SDZ7-Izredna-08	ParlaMint-SI_2014-12-23-SDZ7-Izredna-08.ana.u10	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 8, (23. 12. 2014)	2014-12-23	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	DeSUS	Democratic Party of Pensioners of Slovenia	Coalition	Centre to centre-left	JenkoJana	Jenko, Jana	F	1964	
ParlaMint-SI-en_2014-12-23-SDZ7-Izredna-08	ParlaMint-SI_2014-12-23-SDZ7-Izredna-08.ana.u11	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 8, (23. 12. 2014)	2014-12-23	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SMC	Party of Miro Cerar	Coalition	Centre to centre-left	BrglezMilan	Brglez, Milan	M	1967	
