Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SI-en_2014-10-29-SDZ7-Izredna-06	ParlaMint-SI_2014-10-29-SDZ7-Izredna-06.ana.u1	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 6, (29. 10. 2014)	2014-10-29	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SMC	Party of Miro Cerar	Coalition	Centre to centre-left	BrglezMilan	Brglez, Milan	M	1967	
ParlaMint-SI-en_2014-10-29-SDZ7-Izredna-06	ParlaMint-SI_2014-10-29-SDZ7-Izredna-06.ana.u2	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 6, (29. 10. 2014)	2014-10-29	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	BulcVioleta	Bulc, Violeta	F	1964	
ParlaMint-SI-en_2014-10-29-SDZ7-Izredna-06	ParlaMint-SI_2014-10-29-SDZ7-Izredna-06.ana.u3	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 6, (29. 10. 2014)	2014-10-29	Lower house	7. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SMC	Party of Miro Cerar	Coalition	Centre to centre-left	BrglezMilan	Brglez, Milan	M	1967	
