Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES-CT-en_2021-05-20-0601	ParlaMint-ES-CT_2021-05-20-0601.1.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2021-05-20 0601.ana	2021-05-20	Unicameralism	XIII Legislatura	-	6	1	-	COVID	English	Regular	MP	notMinister	GP-ECP	Grup Parlamentari d'En Comú Podem	Opposition	Left	GallegoJoan	Gallego i Herrera, Joan Carles	M	1954	
ParlaMint-ES-CT-en_2021-05-20-0601	ParlaMint-ES-CT_2021-05-20-0601.2.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2021-05-20 0601.ana	2021-05-20	Unicameralism	XIII Legislatura	-	6	1	-	COVID	English	Regular	MP	notMinister	GP-ECP	Grup Parlamentari d'En Comú Podem	Opposition	Left	GallegoJoan	Gallego i Herrera, Joan Carles	M	1954	
ParlaMint-ES-CT-en_2021-05-20-0601	ParlaMint-ES-CT_2021-05-20-0601.3.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2021-05-20 0601.ana	2021-05-20	Unicameralism	XIII Legislatura	-	6	1	-	COVID	English	Regular	MP	notMinister	GP-ECP	Grup Parlamentari d'En Comú Podem	Opposition	Left	GallegoJoan	Gallego i Herrera, Joan Carles	M	1954	
ParlaMint-ES-CT-en_2021-05-20-0601	ParlaMint-ES-CT_2021-05-20-0601.4.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2021-05-20 0601.ana	2021-05-20	Unicameralism	XIII Legislatura	-	6	1	-	COVID	English	Chairperson	MP	Minister	GP-ERC	Grup Parlamentari Esquerra Republicana de Catalunya	Coalition	Centre-left to left	AragonèsPere	Aragonès i Garcia, Pere	M	1982	
ParlaMint-ES-CT-en_2021-05-20-0601	ParlaMint-ES-CT_2021-05-20-0601.5.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2021-05-20 0601.ana	2021-05-20	Unicameralism	XIII Legislatura	-	6	1	-	COVID	English	Regular	MP	notMinister	GP-ECP	Grup Parlamentari d'En Comú Podem	Opposition	Left	GallegoJoan	Gallego i Herrera, Joan Carles	M	1954	
ParlaMint-ES-CT-en_2021-05-20-0601	ParlaMint-ES-CT_2021-05-20-0601.6.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2021-05-20 0601.ana	2021-05-20	Unicameralism	XIII Legislatura	-	6	1	-	COVID	English	Regular	MP	notMinister	GP-ECP	Grup Parlamentari d'En Comú Podem	Opposition	Left	GallegoJoan	Gallego i Herrera, Joan Carles	M	1954	
ParlaMint-ES-CT-en_2021-05-20-0601	ParlaMint-ES-CT_2021-05-20-0601.7.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2021-05-20 0601.ana	2021-05-20	Unicameralism	XIII Legislatura	-	6	1	-	COVID	English	Regular	MP	notMinister	GP-PSC-UNITS	Grup Parlamentari Socialistes i Units per Avançar	-	Centre	IllaSalvador	Illa i Roca, Salvador	M	1966	
ParlaMint-ES-CT-en_2021-05-20-0601	ParlaMint-ES-CT_2021-05-20-0601.8.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2021-05-20 0601.ana	2021-05-20	Unicameralism	XIII Legislatura	-	6	1	-	COVID	English	Regular	MP	notMinister	GP-ECP	Grup Parlamentari d'En Comú Podem	Opposition	Left	GallegoJoan	Gallego i Herrera, Joan Carles	M	1954	
ParlaMint-ES-CT-en_2021-05-20-0601	ParlaMint-ES-CT_2021-05-20-0601.9.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2021-05-20 0601.ana	2021-05-20	Unicameralism	XIII Legislatura	-	6	1	-	COVID	English	Chairperson	MP	Minister	GP-ERC	Grup Parlamentari Esquerra Republicana de Catalunya	Coalition	Centre-left to left	AragonèsPere	Aragonès i Garcia, Pere	M	1982	
ParlaMint-ES-CT-en_2021-05-20-0601	ParlaMint-ES-CT_2021-05-20-0601.10.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2021-05-20 0601.ana	2021-05-20	Unicameralism	XIII Legislatura	-	6	1	-	COVID	English	Regular	MP	notMinister	GP-ECP	Grup Parlamentari d'En Comú Podem	Opposition	Left	GallegoJoan	Gallego i Herrera, Joan Carles	M	1954	
ParlaMint-ES-CT-en_2021-05-20-0601	ParlaMint-ES-CT_2021-05-20-0601.11.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2021-05-20 0601.ana	2021-05-20	Unicameralism	XIII Legislatura	-	6	1	-	COVID	English	Regular	MP	notMinister	GP-PSC-UNITS	Grup Parlamentari Socialistes i Units per Avançar	-	Centre	IllaSalvador	Illa i Roca, Salvador	M	1966	
ParlaMint-ES-CT-en_2021-05-20-0601	ParlaMint-ES-CT_2021-05-20-0601.12.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2021-05-20 0601.ana	2021-05-20	Unicameralism	XIII Legislatura	-	6	1	-	COVID	English	Regular	MP	notMinister	GP-ECP	Grup Parlamentari d'En Comú Podem	Opposition	Left	GallegoJoan	Gallego i Herrera, Joan Carles	M	1954	
ParlaMint-ES-CT-en_2021-05-20-0601	ParlaMint-ES-CT_2021-05-20-0601.13.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2021-05-20 0601.ana	2021-05-20	Unicameralism	XIII Legislatura	-	6	1	-	COVID	English	Regular	MP	notMinister	GP-JxCAT	Grup Parlamentari de Junts per Catalunya	Coalition	Centre-right to right	BatetAlbert	Batet Canadell, Albert	M	1979	
ParlaMint-ES-CT-en_2021-05-20-0601	ParlaMint-ES-CT_2021-05-20-0601.14.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2021-05-20 0601.ana	2021-05-20	Unicameralism	XIII Legislatura	-	6	1	-	COVID	English	Regular	MP	notMinister	GP-ECP	Grup Parlamentari d'En Comú Podem	Opposition	Left	GallegoJoan	Gallego i Herrera, Joan Carles	M	1954	
ParlaMint-ES-CT-en_2021-05-20-0601	ParlaMint-ES-CT_2021-05-20-0601.15.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2021-05-20 0601.ana	2021-05-20	Unicameralism	XIII Legislatura	-	6	1	-	COVID	English	Chairperson	MP	Minister	GP-ERC	Grup Parlamentari Esquerra Republicana de Catalunya	Coalition	Centre-left to left	AragonèsPere	Aragonès i Garcia, Pere	M	1982	
ParlaMint-ES-CT-en_2021-05-20-0601	ParlaMint-ES-CT_2021-05-20-0601.16.0	Catalan parliamentary corpus ParlaMint-ES-CT-en, 2021-05-20 0601.ana	2021-05-20	Unicameralism	XIII Legislatura	-	6	1	-	COVID	English	Regular	MP	notMinister	GP-ECP	Grup Parlamentari d'En Comú Podem	Opposition	Left	GallegoJoan	Gallego i Herrera, Joan Carles	M	1954	
